Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;ZLATKO AGA;MIROSLAV JELÈIÆ;OZREN KRALJIÆ
12;BRODSKO-POSAVSKA ŽUPANIJA;opæina;REŠETARI;001;REŠETARI;OSNOVNA ŠKOLA U REŠETARIMA;VLADIMIRA NAZORA 23;988;400;400;395;5;291;44;60
12;BRODSKO-POSAVSKA ŽUPANIJA;opæina;REŠETARI;002;REŠETARI;OSNOVNA ŠKOLA U REŠETARIMA;VLADIMIRA NAZORA 23;989;427;427;418;9;321;38;59
12;BRODSKO-POSAVSKA ŽUPANIJA;opæina;REŠETARI;003;BUKOVICA;DOM U BUKOVICI;BUKOVICA;130;71;71;68;3;61;3;4
12;BRODSKO-POSAVSKA ŽUPANIJA;opæina;REŠETARI;004;ADŽAMOVCI;DJEÈJI VRTIÆ ÈAROBNI SVIJET U REŠETARIMA;ADŽAMOVCI, S. RADIÆA 1;489;215;215;212;3;185;18;9
12;BRODSKO-POSAVSKA ŽUPANIJA;opæina;REŠETARI;005;ZAPOLJE;DOM U ZAPOLJU;IVANA ZAPOLJSKOG 88;345;150;150;146;4;106;18;22
12;BRODSKO-POSAVSKA ŽUPANIJA;opæina;REŠETARI;006;BRÐANI;DOM U BRÐANIMA;BRÐANI;205;82;82;81;1;69;3;9
12;BRODSKO-POSAVSKA ŽUPANIJA;opæina;REŠETARI;007;DREŽNIK;DOM U DREŽNIKU;DREŽNIK;330;142;142;140;2;126;11;3
12;BRODSKO-POSAVSKA ŽUPANIJA;opæina;REŠETARI;008;GUNJAVCI;OSNOVNA ŠKOLA U GUNJAVCIMA;HRVATSKIH BRANITELJA;335;164;164;161;3;149;4;8
