Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;ZOLTAN ÈEREPEŠ
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;TORDINCI;001;ZGRADA OPÆINE TORDINCI;TORDINCI;TRG HRVATSKIH ŽRTAVA 9;14;0;0;0;0;0
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;TORDINCI;002;ZGRADA DOMA KULTURE U KOROGU;KOROG;PETEFI ŠANDORA 1;322;207;207;164;43;164
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;TORDINCI;003;ZGRADA MJESNOG ODBORA MLAKA ANTINSKA;MLAKA ANTINSKA;GLAVNA 17;1;0;0;0;0;0
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;TORDINCI;004;ZGRADA MJESNOG ODBORA ANTIN;ANTIN;I.GUNDULIÆA 85;4;0;0;0;0;0
