Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;NIKOLA IVANOVIĆ;TAMARA PUAČ
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;JAKŠIĆ;001;PRIVATNA KUĆA ANTOLOVIĆ ZDENKO;EMINOVCI;VUKOVARSKA 66;20;1;1;1;0;1;0
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;JAKŠIĆ;002;PROSTORIJE NA STADIONU NK EMINOVCI;EMINOVCI;VUKOVARSKA 132C;5;0;0;0;0;0;0
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;JAKŠIĆ;003;"PROSTORIJE OŠ ""MLADOST"", PO TREŠTANOVCI";TREŠTANOVCI;TREŠTANOVCI 53;44;14;14;13;1;6;7
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;JAKŠIĆ;004;PRIVATNA KUĆA BIONDIĆ MARIJA;SVETINJA;SVETINJA 1;0;0;0;0;0;0;0
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;JAKŠIĆ;005;DRUŠTVENI DOM;BERTELOVCI;BERTELOVCI 47A;0;0;0;0;0;0;0
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;JAKŠIĆ;006;"PROSTORIJE OŠ ""MLADOST"", PO TEKIĆ";TEKIĆ;TEKIĆ 30;3;0;0;0;0;0;0
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;JAKŠIĆ;007;PRIVATNA KUĆA ŠOP ŽELJKO;JAKŠIĆ;KOLODVORSKA 213;4;0;0;0;0;0;0
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;JAKŠIĆ;008;"OSNOVNA ŠKOLA ""MLADOST""";JAKŠIĆ;KOLODVORSKA 2;35;0;0;0;0;0;0
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;JAKŠIĆ;009;NOVI VATROGASNI DOM;JAKŠIĆ;PAVLA RADIĆA 2B;10;0;0;0;0;0;0
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;JAKŠIĆ;010;DRUŠTVENI DOM;RADNOVAC;RADNOVAC 38;1;0;0;0;0;0;0
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;JAKŠIĆ;011;DRUŠTVENI DOM;RAJSAVAC;RAJSAVAC 44;2;0;0;0;0;0;0
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;JAKŠIĆ;012;"PROSTORIJE OŠ ""MLADOST"", PO CEROVAC";CEROVAC;CEROVAC 26;2;0;0;0;0;0;0
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;JAKŠIĆ;013;PRIVATNA KUĆA MAJETIĆ SLAVICA;GRANJE;GRANJE 6;17;6;6;6;0;1;5
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;KAPTOL;001;DRUŠTVENO VATROGASNI DOM;KAPTOL;TRG VILIMA KORAJCA 1;2;0;0;0;0;0;0
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;KAPTOL;002;OSNOVNA ŠKOLA VILIMA KORAJCA;KAPTOL;TRG DR. FRANJE TUĐMANA 3;6;0;0;0;0;0;0
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;KAPTOL;003;OBITELJSKA KUĆA MATE JURIĆA;KOMAROVCI;KOMAROVCI 15;1;0;0;0;0;0;0
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;KAPTOL;004;VATROGASNI DOM;ALILOVCI;ALILOVCI 56;1;0;0;0;0;0;0
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;KAPTOL;005;DRUŠTVENI DOM;ČEŠLJAKOVCI;ČEŠLJAKOVCI 56;1;0;0;0;0;0;0
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;KAPTOL;006;VATROGASNI DOM;GOLO BRDO;GOLO BRDO 34;1;0;0;0;0;0;0
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;KAPTOL;007;DRUŠTVENI DOM;RAMANOVCI;RAMANOVCI 13;2;0;0;0;0;0;0
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;KAPTOL;008;DRUŠTVENI DOM;NOVI BEŠINCI;NOVI BEŠINCI BB;1;0;0;0;0;0;0
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;KAPTOL;009;OBITELJSKA KUĆA ZDRAVKA LOVRIĆA;BEŠINCI;BEŠINCI 17;0;0;0;0;0;0;0
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;KAPTOL;010;VATROGASNI DOM;PODGORJE;PODGORJE 58;1;0;0;0;0;0;0
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;KAPTOL;011;VATROGASNI DOM;DOLJANOVCI;DOLJANOVCI 6;0;0;0;0;0;0;0
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;VELIKA;001;DRUŠTVENO VATROGASNI DOM;VELIKA;S. RADIĆA 18;12;0;0;0;0;0;0
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;VELIKA;002;KNJIŽNICA VELIKA;VELIKA;TRG BANA J. JELAČIĆA 36;11;0;0;0;0;0;0
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;VELIKA;003;DRUŠTVENI DOM;RADOVANCI;RADOVANCI 20;1;0;0;0;0;0;0
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;VELIKA;004;HRVATSKI SELJAČKI DOM;TRENKOVO;TRENKOVA 13;4;0;0;0;0;0;0
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;VELIKA;005;DRUŠTVENI DOM;ANTUNOVAC;ANTUNOVAC 5;38;0;0;0;0;0;0
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;VELIKA;006;DRUŠTVENI DOM;POTOČANI;POTOČANI BB;1;0;0;0;0;0;0
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;VELIKA;007;DRUŠTVENI DOM;TRNOVAC;TRNOVAC 12;1;0;0;0;0;0;0
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;VELIKA;008;DRUŠTVENO-VATROGASNI DOM;TORANJ;TORANJ BB;1;0;0;0;0;0;0
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;VELIKA;009;DRUŠTVENI DOM;DRAGA;DRAGA 34;0;0;0;0;0;0;0
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;VELIKA;010;"OŠ ""I. G. KOVAČIĆA"", PODRUČNI ODJEL BIŠKUPCI";BIŠKUPCI;BIŠKUPCI BB;2;1;1;1;0;0;1
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;VELIKA;011;DRUŠTVENI DOM;STRAŽEMAN;STRAŽEMAN 11;1;0;0;0;0;0;0
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;VELIKA;012;DRUŠTVENI DOM;LUČINCI;LUČINCI 26;37;10;10;10;0;3;7
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;VELIKA;013;DRUŠTVENI DOM;DOLJANCI;DOLJANCI BB;3;0;0;0;0;0;0
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;VELIKA;014;DRUŠTVENI DOM;OLJASI;OLJASI 13A;27;5;5;4;1;1;3
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;VELIKA;015;DRUŠTVENI DOM;MILANOVAC;MILANOVAC 20;13;3;3;3;0;2;1
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;VELIKA;016;DRUŠTVENI DOM;POLJANSKA;POLJANSKA BB;22;3;3;3;0;0;3
