Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DOMOVINSKI POKRET - DP, MOST;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA STRANKA UMIROVLJENIKA - HSU;HRVATSKA SELJAČKA STRANKA - HSS;NARODNA STRANKA - REFORMISTI - REFORMISTI, HRVATSKA SELJAČKA STRANKA BRAĆE RADIĆ - HSS BRAĆE RADIĆ, STRANKA HRVATSKIH UMIROVLJENIKA - UMIROVLJENICI - UMIROVLJENICI;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;ČAGLIN;013;SEOSKI DOM;SOVSKI DOL;SOVSKI DOL BB;70;24;24;20;4;3;10;0;0;7
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;ČAGLIN;014;SEOSKI DOM;PAKA;PAKA BB;25;15;15;15;0;2;10;1;1;1
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;ČAGLIN;015;OSNOVNA ŠKOLA;IMRIJEVCI;IMRIJEVCI BB;22;11;11;11;0;4;6;0;0;1
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;ČAGLIN;016;OSNOVNA ŠKOLA;MIGALOVCI;MIGALOVCI BB;101;35;35;34;1;4;15;2;3;10
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;ČAGLIN;017;SEOSKI DOM;SAPNA;SAPNA BB;50;17;17;17;0;4;5;0;1;7
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;ČAGLIN;018;DRUŠTVENO VATROGASNI DOM;NOVA LJESKOVICA;JOSIPA KNEŽEVIĆA BB;185;85;85;81;4;8;52;4;1;16
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;ČAGLIN;019;DRUŠTVENI DOM;MILANLUG;MILANLUG 51;167;82;82;79;3;21;42;5;4;7
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;ČAGLIN;020;DRUŠTVENI DOM;VUKOJEVICA;VUKOJEVICA BB;57;22;22;22;0;5;9;1;2;5
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;ČAGLIN;021;PRIVATNA KUĆA STJEPANA KRALJAKA;DUBOKA;DUBOKA 50A;40;23;23;22;1;1;10;2;1;8
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;JAKŠIĆ;001;PRIVATNA KUĆA ANTOLOVIĆ ZDENKO;EMINOVCI;VUKOVARSKA 66;234;45;45;44;1;11;21;1;1;10
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;JAKŠIĆ;002;PROSTORIJE NA STADIONU NK EMINOVCI;EMINOVCI;VUKOVARSKA 132C;305;86;86;82;4;12;60;0;2;8
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;JAKŠIĆ;003;"PROSTORIJE OŠ ""MLADOST"", PO TREŠTANOVCI";TREŠTANOVCI;TREŠTANOVCI 53;162;71;71;69;2;9;30;3;3;24
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;JAKŠIĆ;004;PRIVATNA KUĆA BIONDIĆ MARIJA;SVETINJA;SVETINJA 1;44;23;23;23;0;3;16;0;1;3
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;JAKŠIĆ;005;DRUŠTVENI DOM;BERTELOVCI;BERTELOVCI 47A;121;55;55;50;5;7;26;4;4;9
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;JAKŠIĆ;006;"PROSTORIJE OŠ ""MLADOST"", PO TEKIĆ";TEKIĆ;TEKIĆ 30;210;107;107;104;3;37;48;4;9;6
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;JAKŠIĆ;007;PRIVATNA KUĆA ŠOP ŽELJKO;JAKŠIĆ;KOLODVORSKA 213;208;83;83;82;1;18;41;3;7;13
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;JAKŠIĆ;008;"OSNOVNA ŠKOLA ""MLADOST""";JAKŠIĆ;KOLODVORSKA 2;834;352;352;336;16;86;190;12;9;39
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;JAKŠIĆ;009;NOVI VATROGASNI DOM;JAKŠIĆ;PAVLA RADIĆA 2B;489;164;164;158;6;39;86;11;8;14
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;JAKŠIĆ;010;DRUŠTVENI DOM;RADNOVAC;RADNOVAC 38;159;54;54;53;1;19;22;3;2;7
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;JAKŠIĆ;011;DRUŠTVENI DOM;RAJSAVAC;RAJSAVAC 44;277;139;139;130;9;25;73;16;2;14
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;JAKŠIĆ;012;"PROSTORIJE OŠ ""MLADOST"", PO CEROVAC";CEROVAC;CEROVAC 26;193;82;82;79;3;11;52;5;1;10
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;JAKŠIĆ;013;PRIVATNA KUĆA MAJETIĆ SLAVICA;GRANJE;GRANJE 6;64;11;11;10;1;3;1;1;0;5
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;KAPTOL;001;DRUŠTVENO VATROGASNI DOM;KAPTOL;TRG VILIMA KORAJCA 1;517;151;151;141;10;24;85;3;8;21
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;KAPTOL;002;OSNOVNA ŠKOLA VILIMA KORAJCA;KAPTOL;TRG DR. FRANJE TUĐMANA 3;621;211;211;201;10;40;105;9;6;41
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;KAPTOL;003;OBITELJSKA KUĆA MATE JURIĆA;KOMAROVCI;KOMAROVCI 15;146;45;45;45;0;5;29;2;0;9
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;KAPTOL;004;VATROGASNI DOM;ALILOVCI;ALILOVCI 56;350;128;128;122;6;17;78;7;5;15
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;KAPTOL;005;DRUŠTVENI DOM;ČEŠLJAKOVCI;ČEŠLJAKOVCI 56;231;105;105;94;11;9;75;3;1;6
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;KAPTOL;006;VATROGASNI DOM;GOLO BRDO;GOLO BRDO 34;256;78;78;71;7;6;51;3;2;9
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;KAPTOL;007;DRUŠTVENI DOM;RAMANOVCI;RAMANOVCI 13;160;83;83;78;5;17;34;1;7;19
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;KAPTOL;008;DRUŠTVENI DOM;NOVI BEŠINCI;NOVI BEŠINCI BB;69;26;26;23;3;9;10;0;0;4
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;KAPTOL;009;OBITELJSKA KUĆA ZDRAVKA LOVRIĆA;BEŠINCI;BEŠINCI 17;69;23;23;23;0;2;14;1;3;3
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;KAPTOL;010;VATROGASNI DOM;PODGORJE;PODGORJE 58;184;76;76;72;4;13;49;2;1;7
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;KAPTOL;011;VATROGASNI DOM;DOLJANOVCI;DOLJANOVCI 6;207;93;93;85;8;13;48;6;4;14
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;VELIKA;001;DRUŠTVENO VATROGASNI DOM;VELIKA;S. RADIĆA 18;552;297;297;280;17;64;136;11;17;52
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;VELIKA;002;KNJIŽNICA VELIKA;VELIKA;TRG BANA J. JELAČIĆA 36;1109;537;537;500;37;120;259;20;19;82
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;VELIKA;003;DRUŠTVENI DOM;RADOVANCI;RADOVANCI 20;404;227;227;221;6;62;114;9;5;31
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;VELIKA;004;HRVATSKI SELJAČKI DOM;TRENKOVO;TRENKOVA 13;668;309;309;299;10;48;173;31;4;43
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;VELIKA;005;DRUŠTVENI DOM;ANTUNOVAC;ANTUNOVAC 5;126;35;35;33;2;7;13;0;2;11
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;VELIKA;006;DRUŠTVENI DOM;POTOČANI;POTOČANI BB;147;62;62;58;4;20;27;3;2;6
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;VELIKA;007;DRUŠTVENI DOM;TRNOVAC;TRNOVAC 12;340;149;149;143;6;54;46;9;3;31
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;VELIKA;008;DRUŠTVENO-VATROGASNI DOM;TORANJ;TORANJ BB;147;52;52;50;2;7;28;8;1;6
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;VELIKA;009;DRUŠTVENI DOM;DRAGA;DRAGA 34;198;115;115;107;8;26;60;5;5;11
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;VELIKA;010;"OŠ ""I. G. KOVAČIĆA"", PODRUČNI ODJEL BIŠKUPCI";BIŠKUPCI;BIŠKUPCI BB;293;131;131;121;10;16;72;9;8;16
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;VELIKA;011;DRUŠTVENI DOM;STRAŽEMAN;STRAŽEMAN 11;188;81;81;73;8;12;36;13;5;7
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;VELIKA;012;DRUŠTVENI DOM;LUČINCI;LUČINCI 26;94;30;30;30;0;4;7;7;0;12
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;VELIKA;013;DRUŠTVENI DOM;DOLJANCI;DOLJANCI BB;62;14;14;12;2;1;6;0;0;5
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;VELIKA;014;DRUŠTVENI DOM;OLJASI;OLJASI 13A;62;25;25;24;1;3;10;6;2;3
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;VELIKA;015;DRUŠTVENI DOM;MILANOVAC;MILANOVAC 20;30;16;16;15;1;5;2;2;0;6
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;VELIKA;016;DRUŠTVENI DOM;POLJANSKA;POLJANSKA BB;124;40;40;39;1;4;16;12;0;7
