Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;ILIJA OBRADOVIÆ;DACO VLATKOVIÆ
09;LIÈKO-SENJSKA ŽUPANIJA;opæina;DONJI LAPAC;001;DONJI LAPAC;OSNOVNA ŠKOLA DONJI LAPAC;DONJI LAPAC, STOJANA MATIÆA 18;742;387;387;367;20;200;167
09;LIÈKO-SENJSKA ŽUPANIJA;opæina;DONJI LAPAC;002;DONJI LAPAC;OSNOVNA ŠKOLA DONJI LAPAC;DONJI LAPAC, STOJANA MATIÆA 18;380;210;210;200;10;104;96
09;LIÈKO-SENJSKA ŽUPANIJA;opæina;DONJI LAPAC;003;NEBLJUSI;ZGRADA DRUŠTVENOG DOMA NEBLJUSI;NEBLJUSI;196;121;121;120;1;45;75
09;LIÈKO-SENJSKA ŽUPANIJA;opæina;DONJI LAPAC;004;GORNJI LAPAC;"ZGRADA LOVAÈKOG DRUŠTVA ""OZEBLIN""";GORNJI LAPAC;218;135;135;131;4;64;67
