Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;MARIJO MLADINIĆ;LJUBO ŽUPANOVIĆ
15;ŠIBENSKO-KNINSKA ŽUPANIJA;općina;ROGOZNICA;001;BIRAČKO MJESTO 1;DOM MATICE HRVATSKE U ROGOZNICI;ROGOZNICA;307;160;160;157;3;91;66
15;ŠIBENSKO-KNINSKA ŽUPANIJA;općina;ROGOZNICA;002;BIRAČKO MJESTO 2;"PROSTORIJE OSNOVNE ŠKOLE ""ROGOZNICA""";ULICA ANTE STARČEVIĆA 76;1168;548;548;525;23;337;188
15;ŠIBENSKO-KNINSKA ŽUPANIJA;općina;ROGOZNICA;003;BIRAČKO MJESTO 3;PROSTORIJE U PRIZEMLJU OBITELJSKE KUĆE VLASNIKA STJEPANA HUTINSKOG U PODGLAVICI;STUPIN 3;379;192;192;185;7;112;73
15;ŠIBENSKO-KNINSKA ŽUPANIJA;općina;ROGOZNICA;004;BIRAČKO MJESTO 4;PROSTORIJE MJESNOG ODBORA U DVORNICAMA (BIVŠA MJESNA ZAJEDNICA);DVORNICE;252;126;126;123;3;87;36
15;ŠIBENSKO-KNINSKA ŽUPANIJA;općina;ROGOZNICA;005;BIRAČKO MJESTO 5;PROSTORIJE POSLOVNOG OBJEKTA U PRIZEMLJU OBITELJSKE KUĆE VLASNIKA ANTE LOVRIĆA U RAŽNJU;RAŽANJ 2;258;113;113;108;5;67;41
15;ŠIBENSKO-KNINSKA ŽUPANIJA;općina;ROGOZNICA;006;BIRAČKO MJESTO 6;PROSTORIJE MJESNOG ODBORA U PODORLJAKU (BIVŠA MJESNA ZAJEDNICA);PODORLJAK;125;83;83;82;1;69;13
15;ŠIBENSKO-KNINSKA ŽUPANIJA;općina;ROGOZNICA;007;BIRAČKO MJESTO 7;PROSTORIJE POLJOPRIVREDNE ZADRUGE SAPINA DOCA;SAPINA DOCA;88;54;54;53;1;33;20
