Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;IVICA KUZMIĆ;KRISTIAN KUZMIĆ;DALIBOR ŽIVKOVIĆ
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;TOPUSKO;001;TOPUSKO;SREDNJA ŠKOLA TOPUSKO;ŠKOLSKA 14;756;382;382;373;9;238;69;66
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;TOPUSKO;002;TOPUSKO;SREDNJA ŠKOLA TOPUSKO;ŠKOLSKA 14;307;150;150;147;3;114;19;14
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;TOPUSKO;003;HRVATSKO SELO;DRUŠTVENI DOM HRVATSKO SELO;HRVATSKO SELO 77A;267;152;152;147;5;121;24;2
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;TOPUSKO;004;TOPUSKO;SREDNJA ŠKOLA TOPUSKO;ŠKOLSKA 14;209;68;68;60;8;29;7;24
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;TOPUSKO;005;KATINOVAC;KUĆA BISERKE MALOBABIĆ;KATINOVAC 37;215;102;102;100;2;60;11;29
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;TOPUSKO;006;PERNA;PROSTOR BIVŠE TRGOVINE;PERNA 127;182;86;86;75;11;19;16;40
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;TOPUSKO;007;PONIKVARI;ZGRADA DOBROVOLJNOG VATROGASNOG DRUŠTVA TOPUSKO;PONIKVARI 77A;440;208;208;202;6;146;33;23
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;TOPUSKO;008;STARO SELO TOPUSKO;DRUŠTVENI DOM STARO SELO TOPUSKO;STARO SELO TOPUSKO 142;109;55;55;51;4;24;10;17
