Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;BARBARA ANTOLIÆ VUPORA;RADIMIR ÈAÈIÆ;MARIO LEŠINA;KRUNOSLAV LUKAÈIÆ;DENIS MLADENOVIÆ;DARKO NOVOSELEC;ANÐELKO STRIÈAK
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;031;MARGEÈAN;OSNOVNA ŠKOLA - BIRALIŠTE II;MARGEÈAN;183;115;115;112;3;6;26;4;4;2;2;68
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;032;RADOVAN;OSNOVNA ŠKOLA - BIRALIŠTE I;RADOVAN;367;150;150;142;8;14;42;6;12;6;5;57
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;033;ŠKRILJEVEC;DRUŠTVENI DOM;ŠKRILJEVEC;210;109;109;101;8;13;34;1;5;7;7;34
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;034;RADOVAN;OSNOVNA ŠKOLA - BIRALIŠTE II;RADOVAN;384;162;162;155;7;19;49;5;24;6;4;48
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;001;LEPOGLAVA - 1;"UGOSTITELJSKI OBJEKT CAFFE BAR ""CIGLA""";ULICA HRVATSKIH PAVLINA 101;630;335;334;318;16;45;118;6;73;4;7;65
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;002;LEPOGLAVA - 2;"BIVŠA TRGOVINA ""RENOVA"" VL. TOME KOSTANJEVCA";ULICA HRVATSKIH PAVLINA 52;400;219;219;212;7;41;90;2;36;7;7;29
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;003;LEPOGLAVA - 3;"OSNOVNA ŠKOLA ""ANTE STARÈEVIÆ""";LEPOGLAVA;802;440;440;418;22;97;141;7;63;14;13;83
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;004;LEPOGLAVA - 4;VATROGASNI DOM;LEPOGLAVA;321;163;163;156;7;32;47;5;24;4;3;41
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;005;OÈURA;DRUŠTVENI DOM;OÈURA;397;200;200;189;11;22;73;2;44;7;9;32
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;006;PURGA;"UGOSTITELJSKI OBJEKT ""SPORT""";IVANA MAŽURANIÆA 2A;481;233;233;220;13;48;67;8;37;8;5;47
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;007;KAMENIÈKI VRHOVEC;"BIVŠI UGOST. OBJEKT ""ZELENA DOLINA""";KAMENIÈKI VRHOVEC;162;107;107;97;10;28;21;5;26;3;1;13
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;008;KAMENICA;"OSNOVNA ŠKOLA ""IVAN RANGER""";KAMENICA;120;76;76;73;3;7;20;9;19;1;0;17
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;009;CRKOVEC;KUÆA TOME ERDEC;CRKOVEC 16;135;64;64;63;1;9;28;1;10;3;0;12
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;010;VILETINEC;"BIVŠI UGOST. OBJEKT ""VIKTORIJA""";VILETINEC;135;38;38;37;1;6;11;0;8;1;2;9
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;011;VULIŠINEC;KUÆA MILICE KELEMENIÆ;VULIŠINEC 2;193;91;91;87;4;23;25;4;15;2;3;15
