Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS, HRVATSKA SELJAČKA STRANKA - HSS, NARODNA STRANKA - REFORMISTI - REFORMISTI
05;VARAŽDINSKA ŽUPANIJA;općina;BREZNIČKI HUM;001;BREZNIČKI HUM;OSNOVNA ŠKOLA BREZNIČKI HUM;BREZNIČKI HUM;409;238;238;225;13;113;112
05;VARAŽDINSKA ŽUPANIJA;općina;BREZNIČKI HUM;002;BREZNIČKI HUM;VATROGASNI DOM BREZNIČKI HUM;BREZNIČKI HUM;263;143;143;140;3;74;66
05;VARAŽDINSKA ŽUPANIJA;općina;BREZNIČKI HUM;003;ŠĆEPANJE;VATROGASNI DOM ŠĆEPANJE;ŠĆEPANJE;253;155;155;154;1;69;85
05;VARAŽDINSKA ŽUPANIJA;općina;BREZNIČKI HUM;004;RADEŠIĆ;VATROGASNI DOM RADEŠIĆ;RADEŠIĆ;169;105;105;104;1;56;48
