Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DOMOVINSKI POKRET - DP;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ
17;SPLITSKO-DALMATINSKA ŽUPANIJA;općina;LEĆEVICA;001;BIRAČKO MJESTO BR. 1 -  DIVOJEVIĆI;MJESNI ODBOR DIVOJEVIĆI;DIVOJEVIĆI, ULICA SV. IVAN 65;44;35;35;34;1;11;23
17;SPLITSKO-DALMATINSKA ŽUPANIJA;općina;LEĆEVICA;002;BIRAČKO MJESTO BR. 2 - KLADNJICE;MJESNI DOM;KLADNJICE, ULICA HRVATSKIH DRAGOVOLJACA 62;159;108;108;105;3;19;86
17;SPLITSKO-DALMATINSKA ŽUPANIJA;općina;LEĆEVICA;003;BIRAČKO MJESTO BR. 3 - LEĆEVICA;OŠ LEĆEVICA;LEĆEVICA, ULICA HRVATSKIH MUČENIKA 9;160;108;108;105;3;45;60
17;SPLITSKO-DALMATINSKA ŽUPANIJA;općina;LEĆEVICA;004;BIRAČKO MJESTO BR. 4 - RADOŠIĆ;MJESNI ODBOR RADOŠIĆ;RADOŠIĆ, ULICA ANTE KUŽIĆA 142;153;94;94;92;2;30;62
