Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;CENTAR;DOMOVINSKI POKRET - DP;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;HRVATSKA DEMOKRŠÆANSKA STRANKA - HDS, HRVATSKA SELJAÈKA STRANKA - STJEPAN RADIÆ - HSS - SR, STRANKA UMIROVLJENIKA - SU;HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS, HRVATSKI LABURISTI - STRANKA RADA - LABURISTI, NARODNA STRANKA - REFORMISTI - REFORMISTI;HRVATSKA SELJAÈKA STRANKA - HSS;HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS;HRVATSKA STRANKA PRAVA - HSP, HRVATSKI SUVERENISTI, HRVATSKA KONZERVATIVNA STRANKA - HKS, HRAST - POKRET ZA USPJEŠNU HRVATSKU;KANDIDACIJSKA LISTA GRUPE BIRAÈA - TOMISLAV MAMIÆ;MOST;MOŽEMO! - POLITIÈKA PLATFORMA, NOVA LJEVICA - NL, PAMETNO ZA SPLIT I DALMACIJU;RADNIÈKA FRONTA - RF, SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, HRVATSKA STRANKA UMIROVLJENIKA - HSU;ŽELJKO KERUM - HRVATSKA GRAÐANSKA STRANKA - HGS
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;101;SPLIT;O.Š. SPLIT III;BRUNE BUŠIÆA 6;834;418;417;406;11;106;13;102;5;4;3;11;5;26;13;50;3;40;25
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;102;SPLIT;O.Š. SPLIT III;BRUNE BUŠIÆA 6;829;376;376;362;14;97;17;54;0;4;2;6;5;14;28;47;1;59;28
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;103;SPLIT;O.Š. SPLIT III;BRUNE BUŠIÆA 6;773;378;378;367;11;79;19;74;4;0;2;5;5;24;23;46;7;47;32
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;104;SPLIT;GRADSKI KOTAR SPLIT III;GETALDIÆEVA 13;742;347;347;343;4;90;10;49;3;2;1;12;7;16;34;35;3;47;34
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;105;SPLIT;GRADSKI KOTAR SPLIT III;GETALDIÆEVA 13;671;315;315;308;7;71;17;58;4;3;4;8;4;24;19;35;2;42;17
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;106;SPLIT;O.Š. SPLIT III;BRUNE BUŠIÆA 6;883;352;352;349;3;81;16;53;2;3;3;5;9;28;20;48;5;29;47
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;107;SPLIT;FESB;RUÐERA BOŠKOVIÆA;955;390;390;385;5;87;16;75;1;2;3;10;10;22;25;41;3;39;51
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;108;SPLIT;FAKULTET GRAÐEVINSKIH ZNANOSTI;MATICE HRVATSKE 15;624;284;277;262;15;60;13;61;1;0;2;5;3;22;14;23;1;30;27
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;109;SPLIT;FESB;RUÐERA BOŠKOVIÆA;930;388;388;376;12;80;17;55;2;6;0;7;3;27;28;44;5;56;46
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;110;SPLIT;O.Š. SUÆIDAR;PERIVOJ ANE ROJE 1;1084;409;409;397;12;70;24;97;1;3;2;9;12;32;34;17;1;22;73
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;111;SPLIT;O.Š. SUÆIDAR;PERIVOJ ANE ROJE 1;1298;514;514;502;12;108;20;132;4;2;1;10;7;33;51;33;1;31;69
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;112;SPLIT;O.Š. SUÆIDAR;PERIVOJ ANE ROJE 1;788;297;297;288;9;56;16;56;3;1;1;10;0;11;25;28;4;28;49
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;113;SPLIT;O.Š. SUÆIDAR;PERIVOJ ANE ROJE 1;823;347;346;338;8;87;6;57;2;1;1;8;6;22;26;27;4;57;34
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;114;SPLIT;O.Š. SUÆIDAR;PERIVOJ ANE ROJE 1;1065;360;360;351;9;71;12;93;0;2;2;6;12;18;43;23;0;23;46
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;115;SPLIT;O.Š. SUÆIDAR;PERIVOJ ANE ROJE 1;1105;429;429;422;7;85;18;120;0;3;3;12;5;25;49;20;3;27;52
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;116;SPLIT;O.Š. SUÆIDAR;PERIVOJ ANE ROJE 1;1219;521;521;508;13;98;27;102;0;5;2;18;5;36;41;37;7;44;86
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;117;SPLIT;O.Š. SUÆIDAR;PERIVOJ ANE ROJE 1;843;337;337;324;13;70;20;46;3;3;1;5;9;23;25;27;0;35;57
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;118;SPLIT;O.Š. TRSTENIK;DINKA ŠIMUNOVIÆA 22;1008;477;477;468;9;121;21;78;3;1;4;7;8;44;30;41;3;57;50
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;119;SPLIT;O.Š. TRSTENIK;DINKA ŠIMUNOVIÆA 22;811;395;395;388;7;100;14;68;1;0;3;10;6;23;25;39;6;62;31
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;120;SPLIT;O.Š. TRSTENIK;DINKA ŠIMUNOVIÆA 22;933;414;414;409;5;108;19;83;2;1;3;7;5;36;13;38;1;53;40
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;121;SPLIT;GRADSKI KOTAR TRSTENIK;PUT TRSTENIKA 1;863;381;381;371;10;82;9;65;2;2;5;9;7;23;13;38;3;70;43
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;122;SPLIT;GRADSKI KOTAR TRSTENIK;PUT TRSTENIKA 1;1163;492;492;485;7;110;29;83;1;1;1;10;9;30;40;50;2;72;47
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;123;SPLIT;O.Š. TRSTENIK;DINKA ŠIMUNOVIÆA 22;1094;479;479;471;8;86;21;128;2;4;1;7;11;32;30;49;2;58;40
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;124;SPLIT;KRUH SV.ANTE;SINOVÈIÆA 6;922;365;365;361;4;63;14;66;0;4;1;13;1;28;32;51;7;27;54
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;125;SPLIT;KLUB DVORANA;SINOVÈIÆA 6;775;313;313;305;8;54;17;80;1;4;1;11;2;6;31;22;3;26;47
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;126;SPLIT;DJEÈJI VRTIÆ TAMARIN;NAZOROV PRILAZ 20;747;374;374;367;7;56;15;73;0;3;3;23;7;35;19;41;4;32;56
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;127;SPLIT;O.Š. MARJAN;GAJEVA 1;859;319;319;311;8;66;7;66;1;7;1;7;3;25;31;23;2;28;44
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;128;SPLIT;O.Š. MARJAN;GAJEVA 1;885;390;390;379;11;88;5;75;4;4;1;13;5;15;24;59;3;32;51
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;129;SPLIT;O.Š. BRDA;BRDA 2;970;421;421;410;11;43;23;116;5;3;2;7;4;22;48;11;1;22;103
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;130;SPLIT;O.Š.BRDA;BRDA 2;1030;413;411;406;5;53;20;81;3;3;1;8;6;21;41;28;2;29;110
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;131;SPLIT;O.Š.BRDA;BRDA 2;933;460;460;445;15;47;32;120;7;3;1;5;5;21;35;26;2;28;113
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;132;SPLIT;O.Š.BRDA;BRDA 2;998;442;442;433;9;58;18;121;3;3;4;10;11;17;37;25;2;17;107
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;133;SPLIT;O.Š.BRDA;BRDA 2;991;419;419;410;9;61;14;94;1;5;3;4;5;28;34;27;0;39;95
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;134;SPLIT;O.Š.MEJAŠI;MEJAŠI 20;1637;707;707;691;16;78;25;310;4;6;2;5;72;29;40;19;6;19;76
