Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;DOMOVINSKI POKRET - DP, HRVATSKA STRANKA PRAVA - HSP;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS, MOST, HRVATSKA KONZERVATIVNA STRANKA - HKS;KANDIDACIJSKA LISTA GRUPE BIRAÈA -  PAŠKO RIMAC
17;SPLITSKO-DALMATINSKA ŽUPANIJA;opæina;PROLOŽAC;001;RIÈICE;PODRUÈNA ŠKOLA;RIÈICE;297;108;108;106;2;25;63;17;1
17;SPLITSKO-DALMATINSKA ŽUPANIJA;opæina;PROLOŽAC;002;PODI;"PODRUÈNA ŠKOLA ""BRLOG""";PODI;268;182;182;180;2;27;96;55;2
17;SPLITSKO-DALMATINSKA ŽUPANIJA;opæina;PROLOŽAC;003;BUDIM;KUÆA GRGE BLAŽEVIÆA;BUDIM;677;423;423;416;7;47;219;117;33
17;SPLITSKO-DALMATINSKA ŽUPANIJA;opæina;PROLOŽAC;004;NUGA;PROSTORIJA MJESNOG ODBORA, NUGA;NUGA;326;197;196;192;4;30;125;33;4
17;SPLITSKO-DALMATINSKA ŽUPANIJA;opæina;PROLOŽAC;005;BRDO;PODRUÈNA ŠKOLA METERI;BRDO;211;118;118;117;1;22;41;52;2
17;SPLITSKO-DALMATINSKA ŽUPANIJA;opæina;PROLOŽAC;006;PROLOŽAC;MJESNI DOM;PROLOŽAC;444;298;298;293;5;79;100;104;10
17;SPLITSKO-DALMATINSKA ŽUPANIJA;opæina;PROLOŽAC;007;LUG;PROSTORIJA MJESNOG ODBORA (LOVAÈKA KUÆA);LUG;418;300;300;294;6;40;150;97;7
17;SPLITSKO-DALMATINSKA ŽUPANIJA;opæina;PROLOŽAC;008;BULJANIJA;KUÆA DANE IVANKA;BULJANIJA;368;226;226;219;7;52;95;71;1
17;SPLITSKO-DALMATINSKA ŽUPANIJA;opæina;PROLOŽAC;009;ŠUMET;PROSTORIJE MJESNOG ODBORA;ŠUMET;257;168;168;162;6;22;92;48;0
