Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;MARI GREGET;TONKA IVČEVIĆ;TONČI VUKASOVIĆ
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KOMIŽA;001;KOMIŽA;GALERIJA BORISA MARDEŠIĆA;HRVATSKIH MUČENIKA 9;736;372;371;358;13;151;173;34
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KOMIŽA;002;KOMIŽA;"GRADSKA KNJIŽNICA ""RANKO MARINKOVIĆ""";KOMIŠKIH ISELJENIKA 1, KOMIŽA;712;337;337;315;22;92;184;39
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KOMIŽA;003;PODŠPILJE;"OSNOVNA ŠKOLA ""PODŠPILJE""";PODŠPILJE;129;50;50;50;0;11;29;10
