Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;KATARINA MIHELČIĆ;IGOR PLEŠE
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;DELNICE;001;BIRAČKO MJESTO BR. 1;"ZGRADA PODRUČNE OŠ ""I.G. KOVAČIĆA"" CRNI LUG";CRNI LUG, I.G. KOVAČIĆA 2;320;149;149;145;4;65;80
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;DELNICE;002;BIRAČKO MJESTO BR. 2;ZGRADA MGP LUČICE;LUČICE, LUČIĆKA CESTA 1;291;71;71;71;0;46;25
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;DELNICE;003;BIRAČKO MJESTO BR. 3;ZGRADA RADNIČKOG DOMA DELNICE;DELNICE, ŠKOLSKA 24;1126;522;522;514;8;281;233
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;DELNICE;004;BIRAČKO MJESTO BR. 4;ZGRADA SUDA DELNICE;DELNICE, TINA UJEVIĆA 1;1229;494;494;485;9;255;230
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;DELNICE;005;BIRAČKO MJESTO BR. 5;ZGRADA ŠUMARIJE DELNICE;DELNICE, PETRA KREŠIMIRA IV  53;1288;561;561;551;10;368;183
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;DELNICE;006;BIRAČKO MJESTO BR. 6;"ZGRADA OSNOVNE ŠKOLE ""F.K.FRANKOPANA""  BROD NA KUPI";BROD NA KUPI, KRALJA TOMISLAVA 17 A;369;117;117;113;4;68;45
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;DELNICE;007;BIRAČKO MJESTO BR. 7;ZGRADA OSNOVNE ŠKOLE TURKE;TURKE, TURKE 19;133;56;56;55;1;13;42
