Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;MARKO LAKOŠELJAC;ALEN ROSIÆ
18;ISTARSKA ŽUPANIJA;opæina;KAROJBA;001;KAROJBA;ZGRADA SJEDIŠTA OPÆINE U KAROJBI;KAROJBA;357;214;214;209;5;126;83
18;ISTARSKA ŽUPANIJA;opæina;KAROJBA;002;MOTOVUNSKI NOVAKI;"PROSTORIJE ""LOŽE"" U MOT. NOVAKIMA";MOTOVUNSKI NOVAKI;330;249;249;244;5;167;77
18;ISTARSKA ŽUPANIJA;opæina;KAROJBA;003;ŠKROPETI;PROSTORIJE VIŠENAMJENSKOG DRUŠTVENOG OBJEKTA U ŠKROPETIMA;ŠKROPETI;361;253;253;249;4;162;87
18;ISTARSKA ŽUPANIJA;opæina;KAROJBA;004;RAKOTULE;PROSTORIJA ŽUPNOG STANA;RAKOTULE, RAKOTULE 1;165;88;88;85;3;42;43
