Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DOMOVINSKI POKRET - DP;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;MATIJA POSAVEC - NEZAVISNA LISTA - MATIJA POSAVEC - NL, HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, HRVATSKA SELJAČKA STRANKA - HSS, HRVATSKI LABURISTI - STRANKA RADA - LABURISTI
20;MEĐIMURSKA ŽUPANIJA;općina;KOTORIBA;001;KOTORIBA;"OSNOVNA ŠKOLA ""JOŽE HORVATA"" - UČIONICA 3. A RAZREDA, U PRIZEMLJU";ULICA IGNACA SVETOMARTINSKOG 1;877;498;498;492;6;32;140;157;163
20;MEĐIMURSKA ŽUPANIJA;općina;KOTORIBA;002;KOTORIBA;"OSNOVNA ŠKOLA ""JOŽE HORVATA"" - UČIONICA 2. B RAZREDA, U PRIZEMLJU";ULICA IGNACA SVETOMARTINSKOG 1;833;381;381;366;15;29;71;117;149
20;MEĐIMURSKA ŽUPANIJA;općina;KOTORIBA;003;KOTORIBA;"OSNOVNA ŠKOLA ""JOŽE HORVATA"" - UČIONICA 3. C RAZREDA, U PRIZEMLJU";ULICA IGNACA SVETOMARTINSKOG 1;785;355;355;352;3;35;91;115;111
