Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;VLADIMIR MIHALIC;VALENTINO ŠKVORC
20;MEÐIMURSKA ŽUPANIJA;opæina;MALA SUBOTICA;001;MALA SUBOTICA;DOM KULTURE;GLAVNA ULICA 29;1072;490;490;476;14;160;316
20;MEÐIMURSKA ŽUPANIJA;opæina;MALA SUBOTICA;002;MALA SUBOTICA;OSNOVNA ŠKOLA TOMAŠA GORIÈANCA;GLAVNA ULICA 55;613;248;248;245;3;69;176
20;MEÐIMURSKA ŽUPANIJA;opæina;MALA SUBOTICA;003;PALOVEC;DRUŠTVENI DOM;GLAVNA 35;814;354;354;352;2;82;270
20;MEÐIMURSKA ŽUPANIJA;opæina;MALA SUBOTICA;004;DRŽIMUREC;DOM KULTURE DRŽIMUREC-STRELEC;DRŽIMUREC 136;573;251;251;243;8;50;193
20;MEÐIMURSKA ŽUPANIJA;opæina;MALA SUBOTICA;005;SVETI KRIŽ;DRUŠTVENI DOM;ULICA AUGUSTA ŠENOE 32;291;145;145;141;4;62;79
20;MEÐIMURSKA ŽUPANIJA;opæina;MALA SUBOTICA;006;DRŽIMUREC;PODRUÈNA ŠKOLA DRŽIMUREC-STRELEC;DRŽIMUREC 131;379;67;67;65;2;3;62
