Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;ROBERT ŠPLAJT
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;KUMROVEC;001;KUMROVEC I RAZVOR;VIJEĆNICA OPĆINE KUMROVEC;KUMROVEC, ULICA JOSIPA BROZA 12;402;222;222;201;21;201
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;KUMROVEC;002;KLADNIK;POSLOVNI PROSTOR AUTOLIMAR BOŽIDAR BERC;KLADNIK 45;97;61;61;58;3;58
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;KUMROVEC;003;DONJI ŠKRNIK;OBITELJSKA KUĆA DRAGUTINA ŠPILJARA;DONJI ŠKRNIK 28;127;58;58;58;0;58
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;KUMROVEC;004;RAVNO BREZJE, RAZDRTO TUHELJSKO I DUGNJEVEC;OBITELJSKA KUĆA IVANKE ŽNIDAREC;RAVNO BREZJE 19;324;139;139;125;14;125
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;KUMROVEC;005;RISVICA I PODGORA;OBITELJSKA KUĆA MONIKE FIKET;RISVICA 49;258;126;126;114;12;114
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;KUMROVEC;006;VELINCI;POSLOVNI PROSTOR JOSIPA PEĆNIKA;VELINCI 19A;85;37;37;37;0;37
