Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;DOMOVINSKI POKRET - DP;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA SELJAÈKA STRANKA - HSS, HRVATSKA STRANKA UMIROVLJENIKA - HSU, HRVATSKA BUNJEVAÈKA STRANKA - HBS;HRVATSKA STRANKA PRAVA - HSP;LiPO;SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
09;LIÈKO-SENJSKA ŽUPANIJA;opæina;PERUŠIÆ;010;PERUŠIÆ;ZGRADA BIVŠE OSNOVNE ŠKOLE VUKELIÆI;DONJI KOSINJ;98;49;49;47;2;0;30;8;6;0;3
09;LIÈKO-SENJSKA ŽUPANIJA;opæina;PERUŠIÆ;011;PERUŠIÆ;DRUŠTVENI DOM KOSINJSKI BAKOVAC;KOSINJSKI BAKOVAC;81;54;54;50;4;1;23;8;18;0;0
09;LIÈKO-SENJSKA ŽUPANIJA;opæina;PERUŠIÆ;012;PERUŠIÆ;DRUŠTVENI DOM GORNJI KOSINJ;GORNJI KOSINJ 54;99;45;45;43;2;4;21;11;7;0;0
09;LIÈKO-SENJSKA ŽUPANIJA;opæina;PERUŠIÆ;013;PERUŠIÆ;KUÆA RAJKA ŠTAKIÆA;MLAKVA 48/1;69;28;28;26;2;1;4;5;2;6;8
09;LIÈKO-SENJSKA ŽUPANIJA;opæina;PERUŠIÆ;014;PERUŠIÆ;DRUŠTVENI DOM LIPOVO POLJE;LIPOVO POLJE;95;51;51;50;1;1;5;11;9;13;11
09;LIÈKO-SENJSKA ŽUPANIJA;opæina;PLITVIÈKA JEZERA;001;KORENICA;OŠ DR. F. TUÐMAN, KORENICA (BLAGOVAONICA ŠKOLE);RIJEÈKA BR. 2, KORENICA;811;432;431;398;33;36;66;56;87;124;29
09;LIÈKO-SENJSKA ŽUPANIJA;opæina;PLITVIÈKA JEZERA;002;KORENICA;UGOSTITELJSKO TURISTIÈKA ŠKOLA P.JEZERA (RESTORAN MRSINJ);ZAGREBAÈKA BR. 2, KORENICA;1391;793;793;715;78;105;179;148;151;98;34
09;LIÈKO-SENJSKA ŽUPANIJA;opæina;PLITVIÈKA JEZERA;003;MUKINJE;OSNOVNA ŠKOLA PLITVIÈKA JEZERA;MUKINJE BR. 19;590;282;282;264;18;21;81;35;63;26;38
09;LIÈKO-SENJSKA ŽUPANIJA;opæina;PLITVIÈKA JEZERA;004;SMOLJANAC;OSNOVNA ŠKOLA SMOLJANAC;SMOLJANAC BR. 1;364;158;158;142;16;16;63;23;25;7;8
09;LIÈKO-SENJSKA ŽUPANIJA;opæina;PLITVIÈKA JEZERA;005;ÈANAK;DRUŠTVENI DOM ÈANAK;ÈANAK BR. 50/1;43;13;13;13;0;1;6;4;2;0;0
09;LIÈKO-SENJSKA ŽUPANIJA;opæina;PLITVIÈKA JEZERA;006;DONJI VAGANAC;OSNOVNA ŠKOLA DONJI VAGANAC;VAGANAC BR. 26/1;134;81;81;72;9;8;42;8;11;2;1
09;LIÈKO-SENJSKA ŽUPANIJA;opæina;PLITVIÈKA JEZERA;007;LIÈKO PETROVO SELO;PROSTORIJE UDRUGE TARA;LIÈKO PETROVO SELO 55;142;81;81;74;7;3;14;8;15;30;4
09;LIÈKO-SENJSKA ŽUPANIJA;opæina;UDBINA;001;UDBINA;ZGRADA OPÆINE UDBINA (KANCELARIJA ZA SASTANKE);STJEPANA RADIÆA 6, UDBINA;904;530;530;501;29;24;128;13;70;251;15
09;LIÈKO-SENJSKA ŽUPANIJA;opæina;UDBINA;002;PODLAPAÈA;OSNOVNA ŠKOLA PODLAPAÈA (UÈIONICA BROJ 2);PODLAPAÈA 25;93;53;53;45;8;1;21;3;19;1;0
09;LIÈKO-SENJSKA ŽUPANIJA;opæina;UDBINA;003;DEBELO BRDO;PROSTOR BIVŠE TRGOVINE (KRAJ OSNOVNE ŠKOLE);DEBELO BRDO 59;321;163;163;154;9;6;6;3;9;121;9
09;LIÈKO-SENJSKA ŽUPANIJA;opæina;VRHOVINE;001;VRHOVINE-OŠ U ZALUŽNICI;OSNOVNA ŠKOLA U ZALUŽNICI;ZALUŽNICA;105;45;45;40;5;0;2;2;4;22;10
09;LIÈKO-SENJSKA ŽUPANIJA;opæina;VRHOVINE;002;VRHOVINE - OŠ VRHOVINE;OŠ VRHOVINE;VRHOVINE;279;138;138;131;7;5;21;5;45;50;5
09;LIÈKO-SENJSKA ŽUPANIJA;opæina;VRHOVINE;003;VRHOVINE - D. CENTAR ZA ST., G. VRHOVINE;DNEVNI CENTAR ZA STARIJE I NEMOÆNE OSOBE U GORNJIM VRHOVINAMA;GORNJE VRHOVINE;153;104;104;101;3;3;9;2;16;65;6
09;LIÈKO-SENJSKA ŽUPANIJA;opæina;VRHOVINE;004;VRHOVINE - RUDOPOLJE KUÆA ŽIVKA VLAISAVLJEVIÆA;RUDOPOLJE U KUÆI ŽIVKA VLAISAVLJEVIÆA;RUDOPOLJE 21;45;20;20;20;0;0;0;0;1;16;3
09;LIÈKO-SENJSKA ŽUPANIJA;opæina;VRHOVINE;005;VRHOVINE- TURJANSKI KUÆA BILJANE BRAKUS;U TURJANSKOM U KUÆI BILJANE BRAKUS;TURJANSKI 46;45;32;32;32;0;0;0;1;1;30;0
09;LIÈKO-SENJSKA ŽUPANIJA;opæina;VRHOVINE;006;VRHOVINE - DRUŠTVENI DOM (PROSTORIJA MO) DONJI BABIN POTOK;DRUŠTVENI DOM (PROSTORIJA MO) DONJI BABIN POTOK;DONJI BABIN POTOK;75;42;42;39;3;0;4;0;9;25;1
09;LIÈKO-SENJSKA ŽUPANIJA;opæina;VRHOVINE;007;VRHOVINE - GORNJI BABIN POTOK KUÆA DELIÆ LJUBICE;OBITELJSKA KUÆA LJUBICE DELIÆ;GORNJI BABIN POTOK 45;54;34;34;34;0;0;6;0;1;16;11
