Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;STIPO LUKAČ;DARKO MILINOVIĆ;ERNEST PETRY;DANIJEL TUŠAK;TOMISLAV ZRINSKI
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;029;GOSPIĆ;KUĆA MARIA JOVANOVIĆA;MALA PLANA 35 A;73;44;44;41;3;2;7;17;14;1
09;LIČKO-SENJSKA ŽUPANIJA;grad;NOVALJA;001;NOVALJA 1 - ZGRADA GRAD. MUZEJA;ZGRADA GRADSKOG MUZEJA NOVALJA - PRIZEMLJE;ZVONIMIROVA 27;1111;764;764;719;45;45;328;248;31;67
09;LIČKO-SENJSKA ŽUPANIJA;grad;NOVALJA;002;NOVALJA 2 - ZGRADA GRADA, VIJEĆNICA;ZGRADA G.NOVALJE -I. KAT, VIJEĆNICA;TRG DR. FRANJE TUĐMANA 1;1433;993;991;918;73;55;370;371;41;81
09;LIČKO-SENJSKA ŽUPANIJA;grad;NOVALJA;003;NOVALJA - LUN - ZGRADA PODRUČNE ŠKOLE;ZGRADA PODRUČNE ŠKOLE LUN;LUN;156;84;84;70;14;0;20;25;12;13
09;LIČKO-SENJSKA ŽUPANIJA;grad;NOVALJA;004;NOVALJA - ZGRADA PODRUČNE ŠKOLE JAKIŠNICA;ZGRADA PODRUČNE ŠKOLE JAKIŠNICA;JAKIŠNICA;134;79;79;71;8;3;20;33;3;12
09;LIČKO-SENJSKA ŽUPANIJA;grad;NOVALJA;005;NOVALJA - ZGRADA MO STARA NOVALJA;ZGRADA MO STARA NOVALJA - KAŠTEL;STARA NOVALJA;283;168;168;158;10;14;70;56;4;14
09;LIČKO-SENJSKA ŽUPANIJA;grad;NOVALJA;006;NOVALJA - ZGRADA MO METAJNA;ZGRADA MO METAJNA;METAJNA;214;181;181;177;4;7;58;106;3;3
09;LIČKO-SENJSKA ŽUPANIJA;grad;NOVALJA;007;NOVALJA - ZGRADA MO ZUBOVIĆI;ZGRADA MO ZUBOVIĆI;ZUBOVIĆI;167;123;123;117;6;6;57;50;3;1
09;LIČKO-SENJSKA ŽUPANIJA;grad;NOVALJA;008;NOVALJA - ZGRADA MO KUSTIĆI;ZGRADA MO KUSTIĆI;KUSTIĆI;154;121;121;116;5;8;48;52;1;7
09;LIČKO-SENJSKA ŽUPANIJA;grad;OTOČAC;001;OTOČAC - PODRUČNA ŠKOLA HRVATSKO POLJE;PODRUČNA ŠKOLA HRVATSKO POLJE;HRVATSKO POLJE;150;74;74;68;6;2;35;15;7;9
09;LIČKO-SENJSKA ŽUPANIJA;grad;OTOČAC;002;OTOČAC - PODRUČNA ŠKOLA KOMPOLJE;PODRUČNA ŠKOLA KOMPOLJE;KOMPOLJE;495;246;246;235;11;7;117;67;34;10
09;LIČKO-SENJSKA ŽUPANIJA;grad;OTOČAC;003;OTOČAC - PODRUČNA ŠKOLA ŠVICA;PODRUČNA ŠKOLA ŠVICA;ŠVICA;404;250;250;238;12;7;117;59;35;20
