Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;ANDRIJA FABRIS;NIKA SILIĆ MAROEVIĆ
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;KORČULA;001;KORČULA;ZGRADI CENTRA ZA KULTURU KORČULA;KORČULA;991;590;590;567;23;292;275
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;KORČULA;002;HOTEL MARKO POLO KORČULA;KORČULA;KORČULA;509;290;289;283;6;153;130
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;KORČULA;003;KORČULA;SREDNJA ŠKOLA PETRA ŠEGEDINA KORČULA - ZGRADA SV. ANTUN;KORČULA;1263;710;710;678;32;339;339
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;KORČULA;004;ŽRNOVO;ZGRADA OSNOVNE ŠKOLE;ŽRNOVO;1024;654;654;631;23;288;343
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;KORČULA;005;PUPNAT;DOM KULTURE U PUPNATU;PUPNAT;348;217;217;207;10;130;77
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;KORČULA;006;ČARA;DOM KULTURE U ČARI;ČARA;537;371;371;340;31;158;182
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;KORČULA;007;RAČIŠĆE;"HOTEL ""MEDITERAN"" U RAČIŠĆU";RAČIŠĆE;412;268;268;259;9;91;168
