Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;IVAN GULAM;VLASTA KRPETIĆ MEIĆ;STIPE UREM
15;ŠIBENSKO-KNINSKA ŽUPANIJA;općina;PIROVAC;001;BIRAČKO MJESTO 1;OSNOVNA ŠKOLA PIROVAC;PUT ŠKOLE 10;589;358;356;349;7;223;41;85
15;ŠIBENSKO-KNINSKA ŽUPANIJA;općina;PIROVAC;002;BIRAČKO MJESTO 2;URED TURISTIČKE ZAJEDNICE  OPĆINE PIROVAC;KRALJA KREŠIMIRA IV BR. 6;583;345;345;338;7;199;49;90
15;ŠIBENSKO-KNINSKA ŽUPANIJA;općina;PIROVAC;003;BIRAČKO MJESTO 3;KINO DVORANA PIROVAC;TRG DOMOVINSKOG RATA 18;485;267;267;260;7;139;43;78
15;ŠIBENSKO-KNINSKA ŽUPANIJA;općina;PIROVAC;004;BIRAČKO MJESTO 4;URED MJESNOG ODBORA PUTIČANJE;PUTIČANJE;81;61;61;58;3;21;9;28
15;ŠIBENSKO-KNINSKA ŽUPANIJA;općina;PIROVAC;005;BIRAČKO MJESTO 5;URED MJESNOG ODBORA KAŠIĆ;KAŠIĆ;100;88;88;88;0;35;12;41
