Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;MILAN ĐURĐEVIĆ
15;ŠIBENSKO-KNINSKA ŽUPANIJA;općina;BISKUPIJA;001;BIRAČKO MJESTO 1;ZGRADA OPĆINE BISKUPIJA;TRG IVANA MEŠTROVIĆA 2, ORLIĆ;190;100;100;99;1;99
15;ŠIBENSKO-KNINSKA ŽUPANIJA;općina;BISKUPIJA;002;BIRAČKO MJESTO 2;PROSTORIJE MJESNOG ODBORA BISKUPIJA;PUT SVETE TROJICE 6, BISKUPIJA;285;143;143;134;9;134
15;ŠIBENSKO-KNINSKA ŽUPANIJA;općina;BISKUPIJA;003;BIRAČKO MJESTO 3;PROSTORIJE MJESNOG ODBORA MARKOVAC;CENTAR 84, RIĐANE;81;43;43;42;1;42
15;ŠIBENSKO-KNINSKA ŽUPANIJA;općina;BISKUPIJA;004;BIRAČKO MJESTO 4;ZGRADA DOMA KULTURE U VRBNIKU;VUKADINI 2, VRBNIK;304;159;159;150;9;150
15;ŠIBENSKO-KNINSKA ŽUPANIJA;općina;BISKUPIJA;005;BIRAČKO MJESTO 5;PROSTORIJE MJESNOG ODBORA ZVJERINAC;KOD ŽELJEZNIČKE POSTAJE 16, ZVJERINAC;245;115;115;102;13;102
15;ŠIBENSKO-KNINSKA ŽUPANIJA;općina;BISKUPIJA;006;BIRAČKO MJESTO 6;PROSTORIJE NOVE O.Š. U RAMLJANIMA;BAČCI 9, RAMLJANE;114;73;73;73;0;73
