Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS;HRVATSKA SELJAÈKA STRANKA - HSS;HRVATSKI SUVERENISTI, HRVATSKA KONZERVATIVNA STRANKA - HKS, HRAST - POKRET ZA USPJEŠNU HRVATSKU, NEOVISNI ZA HRVATSKU - NHR;KANDIDACIJSKA LISTA GRUPE BIRAÈA -  MARKO JELIÆ;MOST, DOMOVINSKI POKRET - DP, LOZA NEZAVISNA LISTA - LOZA;NARODNA STRANKA - REFORMISTI - REFORMISTI, HRVATSKA STRANKA UMIROVLJENIKA - HSU, HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS;NEZAVISNA LISTA STIPE PETRINA - NLSP;SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;021;BIRAÈKO MJESTO 21;KUÆA MIROSLAVA ÆOSIÆA U TEPLJUHU;PERIÈIÆI 16;115;39;39;38;1;5;0;2;3;2;2;1;17;6
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;022;BIRAÈKO MJESTO 22;KUÆA DRAGANA GUNDELJA U BIOÈIÆU;GUNDELJI I DEVIÆI 11;94;33;33;31;2;0;0;0;2;0;1;0;24;4
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;023;BIRAÈKO MJESTO 23;DOM KULTURE U MIOÈIÆU;PUT PARÈIÆA 1;94;17;17;16;1;3;0;0;8;0;0;2;3;0
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;024;BIRAÈKO MJESTO 24;KUÆA DRAŽENA BAKOVIÆA  U PARÈIÆU;BANOVCI 4 A;129;60;60;55;5;36;2;1;6;4;1;2;1;2
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;025;BIRAÈKO MJESTO 25;KUÆA IVICE KRANJCA (GRILE) U KADINOJ GLAVICI;DONJE GORETE 7;159;101;101;97;4;58;8;6;8;10;1;5;1;0
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;026;BIRAÈKO MJESTO 26;KUÆA BOŽICE VUDRAGOVIÆ U ŠTIKOVU;VUJEVIÆI 8;54;19;19;19;0;7;0;0;2;0;0;0;7;3
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;001;BIRAÈKO MJESTO 1;"ZGRADA ""HRVATSKIH CESTA"", NADCESTARIJA KNIN";DRNIŠKA CESTA 46, KNIN;120;53;53;50;3;13;0;4;27;0;0;2;3;1
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;002;BIRAÈKO MJESTO 2;ZGRADA VELEUÈILIŠTA MARKO MARULIÆ;KREŠIMIROVA 30, KNIN;599;305;305;304;1;94;3;12;127;28;1;6;26;7
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;003;BIRAÈKO MJESTO 3;ZGRADA VELEUÈILIŠTA MARKO MARULIÆ;KREŠIMIROVA 30, KNIN;674;279;279;275;4;96;2;13;121;11;0;6;20;6
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;004;BIRAÈKO MJESTO 4;"PROSTORIJE ""UPRAVITELJ KNIN"", (BIVŠA TRŽNICA KNIN D.O.O)";VUKOVARSKA 2, KNIN;692;342;342;328;14;112;3;12;138;27;1;7;19;9
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;005;BIRAÈKO MJESTO 5;"PROSTORIJE ""UPRAVITELJ KNIN"" (BIVŠA TRŽNICA D.O.O.)";VUKOVARSKA 2, KNIN;670;319;319;308;11;125;1;8;125;26;1;7;9;6
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;006;BIRAÈKO MJESTO 6;ZGRADA OSNOVNE ŠKOLE DOMOVINSKE ZAHVALNOSTI;JOVIÆEVA 2, KNIN;839;401;401;392;9;133;5;17;178;14;1;19;21;4
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;007;BIRAÈKO MJESTO 7;ZGRADA OSNOVNE ŠKOLE DOMOVINSKE ZAHVALNOSTI;JOVIÆEVA 2, KNIN;780;372;372;359;13;126;2;2;171;18;1;10;21;8
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;008;BIRAÈKO MJESTO 8;PRIVATNA KUÆA ANDRIJE ŠKEGRO;DOMOVINSKOG RATA 33, KOVAÈIÆ;950;407;407;387;20;116;4;5;177;14;6;8;52;5
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;009;BIRAÈKO MJESTO 9;"ZGRADA HEP-A ""ELEKTRA""";4. GARDIJSKE 48, KNIN;1336;568;568;553;15;194;4;21;221;38;3;17;44;11
