Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;AKCIJA MLADIH - AM, SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, HRVATSKA SELJAČKA STRANKA - HSS, CENTAR;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ
13;ZADARSKA ŽUPANIJA;općina;ZEMUNIK DONJI;001;ZEMUNIK DONJI;U PROSTORIJAMA OPĆINE ZEMUNIK DONJI;ZEMUNIK DONJI;1305;668;668;635;33;138;497
13;ZADARSKA ŽUPANIJA;općina;ZEMUNIK DONJI;002;ZEMUNIK GORNJI;ŠPORTSKO-REKREACIONI CENTAR ZEMUNIK GORNJI;ZEMUNIK GORNJI;456;224;224;208;16;32;176
13;ZADARSKA ŽUPANIJA;općina;ZEMUNIK DONJI;003;SMOKOVIĆ;BIVŠI DOM KULTURE;SMOKOVIĆ;255;67;67;64;3;21;43
