Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;KANDIDACIJSKA LISTA GRUPE BIRAÈA - ZVONIMIR MIJIÆ;SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS
13;ZADARSKA ŽUPANIJA;opæina;LIŠANE OSTROVIÈKE;001;LIŠANE OSTROVIÈKE;ZGRADA OPÆINE LIŠANE OSTROVIÈKE;BRAŠTINA BB;493;381;381;369;12;177;192;0
13;ZADARSKA ŽUPANIJA;opæina;LIŠANE OSTROVIÈKE;002;OSTROVICA;OBITELJSKA KUÆA MILORADA MIJALJEVIÆA POK. FRANE ROÐ. 1956. GODINE;OSTROVICA KBR. 27;121;42;42;40;2;16;8;16
13;ZADARSKA ŽUPANIJA;opæina;LIŠANE OSTROVIÈKE;003;DOBROPOLJCI;KUÆA IVANA IVKOVIÆA POK. TOME ROÐ. 1951. GODINE;DOBROPOLJCI KBR. 66;146;22;22;22;0;12;8;2
