Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;MARTINA FURDEK-HAJDIN;STJEPAN MIKULANDRIÆ
04;KARLOVAÈKA ŽUPANIJA;grad;SLUNJ;010;BIRAÈKO MJESTO BR. 10;OSNOVNA ŠKOLA LAÐEVAC;DONJI LAÐEVAC  BB;286;54;54;48;6;45;3
04;KARLOVAÈKA ŽUPANIJA;grad;SLUNJ;011;BIRAÈKO MJESTO BR. 11;OSNOVNA ŠKOLA U FURJANU;DONJI FURJAN 41;158;58;58;57;1;54;3
04;KARLOVAÈKA ŽUPANIJA;grad;SLUNJ;012;BIRAÈKO MJESTO BR. 12;OSNOVNA ŠKOLA PRIMIŠLJE;MJESTO PRIMIŠLJE 31 A;154;14;14;14;0;3;11
04;KARLOVAÈKA ŽUPANIJA;grad;SLUNJ;013;BIRAÈKO MJESTO BR. 13;AMBULANTA VELJUN;VELJUN BB;280;13;13;11;2;6;5
04;KARLOVAÈKA ŽUPANIJA;opæina;BARILOVIÆ;001;BIRAÈKO MJESTO BR. 1;VATROGASNI DOM DVD BELAJSKE POLJICE;BELAJSKE POLJICE 101A;617;131;131;130;1;88;42
04;KARLOVAÈKA ŽUPANIJA;opæina;BARILOVIÆ;002;BIRAÈKO MJESTO BR. 2;PODRUÈNA ŠKOLA BELAJ;BELAJ 30;462;71;71;70;1;52;18
04;KARLOVAÈKA ŽUPANIJA;opæina;BARILOVIÆ;003;BIRAÈKO MJESTO BR. 3;VATROGASNI DOM BARILOVIÆ;BARILOVIÆ 90B;267;54;54;53;1;34;19
04;KARLOVAÈKA ŽUPANIJA;opæina;BARILOVIÆ;004;BIRAÈKO MJESTO BR. 4;ŠKOLA U DONJEM VELEMERIÆU;DONJI VELEMERIÆ 20;225;60;60;60;0;54;6
04;KARLOVAÈKA ŽUPANIJA;opæina;BARILOVIÆ;005;BIRAÈKO MJESTO BR. 5;KUÆA KARAMARKOVIÆ MILOVAN;KOSIJERSKO SELO 41;132;9;9;9;0;4;5
04;KARLOVAÈKA ŽUPANIJA;opæina;BARILOVIÆ;006;BIRAÈKO MJESTO BR. 6;KORANSKI BRIJEG - BIVŠA MLJEKARA;KORANSKI BRIJEG;92;27;27;26;1;14;12
04;KARLOVAÈKA ŽUPANIJA;opæina;BARILOVIÆ;007;BIRAÈKO MJESTO BR. 7;KUÆA PRIJATELJSTVA - BLIZU ŽUPNOG DVORA U BARILOVIÆKOM LESKOVCU;BARILOVIÆKI LESKOVAC;160;59;59;59;0;53;6
04;KARLOVAÈKA ŽUPANIJA;opæina;BARILOVIÆ;008;BIRAÈKO MJESTO BR. 8;PROSTORIJE MJESNOG ODBORA;ŠÆULAC BB;126;48;48;47;1;38;9
04;KARLOVAÈKA ŽUPANIJA;opæina;BARILOVIÆ;009;BIRAÈKO MJESTO BR. 9;OPÆINSKA ZGRADA;PERJASICA 1;203;5;5;5;0;1;4
04;KARLOVAÈKA ŽUPANIJA;opæina;BARILOVIÆ;010;BIRAÈKO MJESTO BR. 10;DVD SIÈA;SIÈA;146;63;63;62;1;57;5
04;KARLOVAÈKA ŽUPANIJA;opæina;BARILOVIÆ;011;BIRAÈKO MJESTO BR. 11;KUÆA GRGINÈIÆ JOSIPA;VIJENAC BARILOVIÆKI 2;45;21;21;21;0;21;0
04;KARLOVAÈKA ŽUPANIJA;opæina;BARILOVIÆ;012;BIRAÈKO MJESTO BR. 12;ŠKOLA U BARILOVIÆKOM CEROVCU;BARILOVIÆKI CEROVAC 17;128;16;16;16;0;12;4
04;KARLOVAÈKA ŽUPANIJA;opæina;BOSILJEVO;001;BIRAÈKO MJESTO BR. 1;BOSILJEVO - ZGRADA OPÆINE;ULICA ISELJENIKA BOSILJEVA 1;336;61;61;59;2;52;7
04;KARLOVAÈKA ŽUPANIJA;opæina;BOSILJEVO;002;BIRAÈKO MJESTO BR. 2;GRABRK - VATROGASNI DOM;GRABRK 1;280;107;107;106;1;91;15
04;KARLOVAÈKA ŽUPANIJA;opæina;BOSILJEVO;003;BIRAÈKO MJESTO BR. 3;PRIKUPLJE - VATROGASNI DOM;PRIBANJCI 50;389;84;84;84;0;50;34
04;KARLOVAÈKA ŽUPANIJA;opæina;BOSILJEVO;004;BIRAÈKO MJESTO BR. 4;VODENA DRAGA - STANICA ZA OTKUP MLIJEKA;VODENA DRAGA BB;34;23;23;23;0;15;8
04;KARLOVAÈKA ŽUPANIJA;opæina;CETINGRAD;001;BIRAÈKO MJESTO BR. 1;CETINGRAD - HRVATSKI DOM;TRG HRVATSKIH BRANITELJA 3, CETINGRAD;227;27;27;27;0;21;6
04;KARLOVAÈKA ŽUPANIJA;opæina;CETINGRAD;002;BIRAÈKO MJESTO BR. 2;CETINGRAD - HRVATSKI DOM;TRG HRVATSKIH BRANITELJA 3, CETINGRAD;629;122;122;117;5;108;9
04;KARLOVAÈKA ŽUPANIJA;opæina;CETINGRAD;003;BIRAÈKO MJESTO BR. 3;KUÆA IGORA VALENTIÆA;KRUŠKOVAÈA 46;409;30;30;30;0;24;6
04;KARLOVAÈKA ŽUPANIJA;opæina;CETINGRAD;004;BIRAÈKO MJESTO BR. 4;KUÆA IVANA RAKOCIJE;TATAR VAROŠ 118;203;54;54;53;1;52;1
04;KARLOVAÈKA ŽUPANIJA;opæina;CETINGRAD;005;BIRAÈKO MJESTO BR. 5;KUÆA MIRKA SAMARDŽIJE;PAŠIN POTOK 172;364;52;52;51;1;47;4
04;KARLOVAÈKA ŽUPANIJA;opæina;DRAGANIÆ;001;BIRAÈKO MJESTO BR. 1;UREDSKI KONTEJNER NA JAVNOJ POVRŠINI DOBRA;LAZINA BB;377;117;117;114;3;95;19
04;KARLOVAÈKA ŽUPANIJA;opæina;DRAGANIÆ;002;BIRAÈKO MJESTO BR. 2;VATROGASNI DOM DRAGANIÆI;DRAGANIÆI 35;551;83;83;80;3;59;21
04;KARLOVAÈKA ŽUPANIJA;opæina;DRAGANIÆ;003;BIRAÈKO MJESTO BR. 3;UREDSKI KONTEJNER NA JAVNOJ POVRŠINI SAP;BUDROVCI BB;616;106;106;105;1;78;27
04;KARLOVAÈKA ŽUPANIJA;opæina;DRAGANIÆ;004;BIRAÈKO MJESTO BR. 4;VATROGASNI DOM MRZLJAKI-GOLJAK;MRZLJAKI 3;802;138;138;135;3;104;31
04;KARLOVAÈKA ŽUPANIJA;opæina;GENERALSKI STOL;001;BIRAÈKO MJESTO BR. 1;ŠKOLA BUKOVLJE;GORNJE BUKOVLJE 22;239;55;55;54;1;44;10
04;KARLOVAÈKA ŽUPANIJA;opæina;GENERALSKI STOL;002;BIRAÈKO MJESTO BR. 2;KUÆA DRAGANA KASUNIÆA, DUGA GORA;DUGA GORA 7;67;8;8;8;0;8;0
04;KARLOVAÈKA ŽUPANIJA;opæina;GENERALSKI STOL;003;BIRAÈKO MJESTO BR. 3;"TRGOVINA ""HALAR""";ERDELJ 64;296;62;62;62;0;52;10
04;KARLOVAÈKA ŽUPANIJA;opæina;GENERALSKI STOL;004;BIRAÈKO MJESTO BR. 4;DOM GENERALSKI STOL;GENERALSKI STOL 32;732;136;135;130;5;98;32
04;KARLOVAÈKA ŽUPANIJA;opæina;GENERALSKI STOL;005;BIRAÈKO MJESTO BR. 5;DOM GORNJI ZVEÈAJ;GORNJI ZVEÈAJ BB;170;44;44;43;1;27;16
04;KARLOVAÈKA ŽUPANIJA;opæina;GENERALSKI STOL;006;BIRAÈKO MJESTO BR. 6;ŠKOLA GORINCI;GORINCI 6;243;49;49;47;2;39;8
04;KARLOVAÈKA ŽUPANIJA;opæina;GENERALSKI STOL;007;BIRAÈKO MJESTO BR. 7;ŠKOLA BREST;MREŽNIÈKI BREST 23;163;25;25;25;0;18;7
04;KARLOVAÈKA ŽUPANIJA;opæina;GENERALSKI STOL;008;BIRAÈKO MJESTO BR. 8;ŠKOLA LIPOV PESAK;LIPOV PESAK 3;237;49;49;48;1;33;15
04;KARLOVAÈKA ŽUPANIJA;opæina;JOSIPDOL;001;BIRAÈKO MJESTO BR. 1;ZGRADA OPÆINE, JOSIPDOL;OGULINSKA 12;996;598;598;579;19;339;240
04;KARLOVAÈKA ŽUPANIJA;opæina;JOSIPDOL;002;BIRAÈKO MJESTO BR. 2;ZGRADA DOMA ''SV. ANTUN'' U CAREVOM POLJU;CAREVO POLJE 41;138;74;74;73;1;53;20
04;KARLOVAÈKA ŽUPANIJA;opæina;JOSIPDOL;003;BIRAÈKO MJESTO BR. 3;KUÆA JOSIPA BOŽIÈEVIÆA, OŠTARIJE;ÈAKOVAC 408;159;101;101;94;7;57;37
04;KARLOVAÈKA ŽUPANIJA;opæina;JOSIPDOL;004;BIRAÈKO MJESTO BR. 4;PROSTORIJE ŠKOLE;MODRUŠ 28;117;83;83;80;3;74;6
04;KARLOVAÈKA ŽUPANIJA;opæina;JOSIPDOL;005;BIRAÈKO MJESTO BR. 5;ZGRADA ŠKOLE U CEROVNIKU;CEROVNIK 30;141;90;90;87;3;65;22
04;KARLOVAÈKA ŽUPANIJA;opæina;JOSIPDOL;006;BIRAÈKO MJESTO BR. 6;ZGRADA ŠKOLE;MUNJAVA MODRUŠKA 11 A;53;35;35;33;2;29;4
04;KARLOVAÈKA ŽUPANIJA;opæina;JOSIPDOL;007;BIRAÈKO MJESTO BR. 7;STARA ŠKOLSKA ZGRADA U MODRUŠKIM SABLJACIMA;MODRUŠKI SABLJACI 19;32;20;20;20;0;18;2
04;KARLOVAÈKA ŽUPANIJA;opæina;JOSIPDOL;008;BIRAÈKO MJESTO BR. 8;DRUŠTVENI DOM U VOJNOVCU;VOJNOVAC 5 A;115;59;59;58;1;43;15
04;KARLOVAÈKA ŽUPANIJA;opæina;JOSIPDOL;009;BIRAÈKO MJESTO BR. 9;POSLOVNA ZGRADA, OŠTARIJE;OŠTARIJE 231;831;448;448;425;23;269;156
04;KARLOVAÈKA ŽUPANIJA;opæina;JOSIPDOL;010;BIRAÈKO MJESTO BR. 10;"ZGRADA DOMA ""SVETI MARKO""";SKRADNIK 40;302;195;195;183;12;134;49
04;KARLOVAÈKA ŽUPANIJA;opæina;JOSIPDOL;011;BIRAÈKO MJESTO BR. 11;DOM MIHALJEVIÆI, OŠTARIJE;MIHALJEVIÆI 121;115;86;86;83;3;53;30
04;KARLOVAÈKA ŽUPANIJA;opæina;KAMANJE;001;BIRAÈKO MJESTO BR. 1 KAMANJE;OSNOVNA ŠKOLA KAMANJE;KAMANJE 111;378;105;105;102;3;46;56
04;KARLOVAÈKA ŽUPANIJA;opæina;KAMANJE;002;BIRAÈKO MJESTO BR. 2 ORLJAKOVO;VATROGASNI DOM ORLJAKOVO;ORLJAKOVO 12 B;227;61;61;58;3;20;38
04;KARLOVAÈKA ŽUPANIJA;opæina;KAMANJE;003;BIRAÈKO MJESTO BR. 3 BRLOG OZALJSKI;VATROGASNI DOM BRLOG OZALJSKI;BRLOG OZALJSKI 43;132;40;40;39;1;11;28
04;KARLOVAÈKA ŽUPANIJA;opæina;KRNJAK;001;BIRAÈKO MJESTO BR. 1;ZGRADA OPÆINE KRNJAK;KRNJAK BR. 5;407;95;95;93;2;74;19
04;KARLOVAÈKA ŽUPANIJA;opæina;KRNJAK;002;BIRAÈKO MJESTO BR. 2;LOVAÈKI DOM;HRVATSKO ŽARIŠTE BR. 5;287;39;39;39;0;38;1
04;KARLOVAÈKA ŽUPANIJA;opæina;KRNJAK;003;BIRAÈKO MJESTO BROJ 3;PODRUÈNA ŠKOLA;DONJI BUDAÈKI BB;315;61;61;60;1;54;6
04;KARLOVAÈKA ŽUPANIJA;opæina;KRNJAK;004;BIRAÈKO MJESTO BR. 4;DRUŠTVENI DOM TRUPINJAK;PERIÆI BR. 16;127;13;13;12;1;11;1
04;KARLOVAÈKA ŽUPANIJA;opæina;KRNJAK;005;BIRAÈKO MJESTO BR. 5;KUÆA MARKOVIÆ JOVANKE;ÈATRNJA 27;296;28;28;27;1;17;10
04;KARLOVAÈKA ŽUPANIJA;opæina;LASINJA;001;BIRAÈKO MJESTO BR. 1;SJENIÈAK LASINJSKI, SJENIÈAK LASINJSKI 206;"LOVAÈKI DOM LD ""FAZAN"" BANSKI KOVAÈEVAC";350;27;27;26;1;24;2
04;KARLOVAÈKA ŽUPANIJA;opæina;LASINJA;002;BIRAÈKO MJESTO BR. 2;LASINJA, LASINJSKA CESTA 19;ZGRADA OPÆINE SOBA BROJ 1 NA I. KATU;176;24;24;24;0;15;9
04;KARLOVAÈKA ŽUPANIJA;opæina;LASINJA;003;BIRAÈKO MJESTO BR. 3;LASINJA, LASINJSKA CESTA 19;ZGRADA OPÆINE SOBA BROJ 2 U PRIZEMLJU;508;100;100;95;5;80;15
04;KARLOVAÈKA ŽUPANIJA;opæina;LASINJA;004;BIRAÈKO MJESTO BR. 4;DESNO SREDIÈKO, DESNO SREDIÈKO 42A;ZGRADA DRUŠTVENOG DOMA;143;17;17;16;1;10;6
04;KARLOVAÈKA ŽUPANIJA;opæina;LASINJA;005;BIRAÈKO MJESTO BR. 5;DESNI ŠTEFANKI, DESNI ŠTEFANKI 103A;ZGRADA DRUŠTVENOG DOMA;194;20;20;20;0;19;1
04;KARLOVAÈKA ŽUPANIJA;opæina;NETRETIÆ;001;BIRAÈKO MJESTO BR. 1;"ZGRADA OSNOVNE ŠKOLE ""NETRETIÆ"" - PRIZEMLJE";NETRETIÆ 1;109;36;36;36;0;33;3
04;KARLOVAÈKA ŽUPANIJA;opæina;NETRETIÆ;002;BIRAÈKO MJESTO BR. 2;KUÆA TOMISLAVA MOŠKUN;ZAVRŠJE NETRETIÆKO 15A;59;24;24;24;0;16;8
04;KARLOVAÈKA ŽUPANIJA;opæina;NETRETIÆ;003;BIRAÈKO MJESTO BR. 3;KUÆA DRAGUTINA KUŠAN;BRAJAKOVO BRDO 53;107;37;37;37;0;25;12
04;KARLOVAÈKA ŽUPANIJA;opæina;NETRETIÆ;004;BIRAÈKO MJESTO BR. 4;ZGRADA PODRUÈNE ŠKOLE DONJE STATIVE;DONJE STATIVE 1;185;52;52;51;1;25;26
04;KARLOVAÈKA ŽUPANIJA;opæina;NETRETIÆ;005;BIRAÈKO MJESTO BR. 5;KUÆA ROŽIÆ PEPE;LONÈAR BRDO 3;48;25;25;24;1;20;4
04;KARLOVAÈKA ŽUPANIJA;opæina;NETRETIÆ;006;BIRAÈKO MJESTO BR. 6;VATROGASNI DOM KUNIÆI;KUNIÆI RIBNIÈKI 26A;75;29;29;26;3;22;4
04;KARLOVAÈKA ŽUPANIJA;opæina;NETRETIÆ;007;BIRAÈKO MJESTO BR. 7;VATROGASNI DOM PRILIŠÆE;SREDNJE PRILIŠÆE 4;167;47;47;45;2;29;16
04;KARLOVAÈKA ŽUPANIJA;opæina;NETRETIÆ;008;BIRAÈKO MJESTO BR. 8;DOM KULTURE VUKOVA GORICA;VUKOVA GORICA 26;52;16;16;16;0;9;7
04;KARLOVAÈKA ŽUPANIJA;opæina;NETRETIÆ;009;BIRAÈKO MJESTO BR. 9;KUÆA NIKOLE MARKUŠ;VINSKI VRH 7A;68;39;39;38;1;33;5
04;KARLOVAÈKA ŽUPANIJA;opæina;NETRETIÆ;010;BIRAÈKO MJESTO BR. 10;ZGRADA MO KUÈEVICE KOD KRIŽA;KUÈEVICE BB;87;39;39;39;0;30;9
04;KARLOVAÈKA ŽUPANIJA;opæina;NETRETIÆ;011;BIRAÈKO MJESTO BR. 11;ZGRADA PODRUÈNE ŠKOLE NOVIGRAD;NOVIGRAD NA DOBRI 19;213;81;81;78;3;65;13
04;KARLOVAÈKA ŽUPANIJA;opæina;NETRETIÆ;012;BIRAÈKO MJESTO BR. 12;ZGRADA PODRUÈNE ŠKOLE JARÈE POLJE;JARÈE POLJE 18;257;45;45;44;1;34;10
04;KARLOVAÈKA ŽUPANIJA;opæina;NETRETIÆ;013;BIRAÈKO MJESTO BR. 13;ZGRADA PODRUÈNE ŠKOLE DUBRAVCI;DUBRAVÈANI 50;377;67;67;67;0;43;24
04;KARLOVAÈKA ŽUPANIJA;opæina;NETRETIÆ;014;BIRAÈKO MJESTO BR. 14;ZGRADA DRUŠTVENOG DOMA MRAÈIN;MRAÈIN 65;217;61;61;61;0;45;16
04;KARLOVAÈKA ŽUPANIJA;opæina;NETRETIÆ;015;BIRAÈKO MJESTO BR. 15;DRUŠTVENI DOM SKUPICA;SKUPICA 36;160;48;48;48;0;36;12
04;KARLOVAÈKA ŽUPANIJA;opæina;NETRETIÆ;016;BIRAÈKO MJESTO BR. 16;ZGRADA PODRUÈNE ŠKOLE ZAGRADCI;ZAGRADCI 69;183;57;57;57;0;39;18
04;KARLOVAÈKA ŽUPANIJA;opæina;PLAŠKI;001;BIRAÈKO MJESTO BR. 1;ZGRADA OPÆINE PLAŠKI;143. DOMOBRANSKE PUKOVNIJE BR. 5;692;150;150;148;2;67;81
04;KARLOVAÈKA ŽUPANIJA;opæina;PLAŠKI;002;BIRAÈKO MJESTO BR. 2;ZGRADA OSNOVNE ŠKOLE PLAŠKI IZ PLAŠKOG;143. DOMOBRANSKE PUKOVNIJE 1 A;458;61;61;59;2;33;26
04;KARLOVAÈKA ŽUPANIJA;opæina;PLAŠKI;003;BIRAÈKO MJESTO BR. 3;ZGRADA KNJIŽNICE I ÈITAONICE PLAŠKI;SABORÈANSKA 3;567;50;50;50;0;17;33
04;KARLOVAÈKA ŽUPANIJA;opæina;RAKOVICA;001;BIRAÈKO MJESTO BR. 1;VATROGASNI DOM DVD-A RAKOVICA;RAKOVICA 29 C;715;133;133;132;1;112;20
04;KARLOVAÈKA ŽUPANIJA;opæina;RAKOVICA;002;BIRAÈKO MJESTO BR. 2;VATROGASNI DOM DVD-A DREŽNIK GRAD;DREŽNIK GRAD 133;573;90;90;87;3;79;8
04;KARLOVAÈKA ŽUPANIJA;opæina;RAKOVICA;003;BIRAÈKO MJESTO BR. 3;DJEÈJI VRTIÆ U SELIŠTU DREŽNIÈKOM;SELIŠTE DREŽNIÈKO 1;460;76;76;73;3;65;8
04;KARLOVAÈKA ŽUPANIJA;opæina;RAKOVICA;004;BIRAÈKO MJESTO BR. 4;DRUŠTVENI DOM U NOVOJ KRŠLJI;NOVA KRŠLJA 47 A;86;21;21;21;0;17;4
04;KARLOVAÈKA ŽUPANIJA;opæina;RAKOVICA;005;BIRAÈKO MJESTO BR. 5;KUÆA MARICE RUPÈIÆ, GRABOVAC;GRABOVAC 225;307;57;57;55;2;42;13
04;KARLOVAÈKA ŽUPANIJA;opæina;RIBNIK;001;BIRAÈKO MJESTO BR. 1 RIBNIK;PROSTORIJE DVD-A RIBNIK, POTKROVLJE IZNAD GARAŽE;RIBNIK 2;129;39;39;37;2;15;22
04;KARLOVAÈKA ŽUPANIJA;opæina;RIBNIK;002;BIRAÈKO MJESTO BR. 2 LIPNIK;PROSTORIJE DVD-A LIPNIK, STARA ŠKOLA U LIPNIKU;LIPNIK BB;110;34;34;30;4;19;11
04;KARLOVAÈKA ŽUPANIJA;opæina;RIBNIK;003;BIRAÈKO MJESTO BR. 3 VESELIÆI;"PROSTORIJE LOVAÈKOG DRUŠTVA ""SRNJAK"" U VESELIÆIMA";VESELIÆI 26;77;34;34;34;0;19;15
04;KARLOVAÈKA ŽUPANIJA;opæina;RIBNIK;004;BIRAÈKO MJESTO BR. 4 GORNJA STRANICA;PRIVATNA KUÆA U VLASNIŠTVU MIRE STEPIÆ;GORNJA STRANICA 21;54;16;16;16;0;7;9
04;KARLOVAÈKA ŽUPANIJA;opæina;SABORSKO;001;BIRAÈKO MJESTO BR. 1;PROSTORIJE OSNOVNE ŠKOLE PLAŠKI, PODRUÈNE ŠKOLE U SABORSKOM;SABORSKO, ULICA CENTAR 54;535;112;112;112;0;98;14
04;KARLOVAÈKA ŽUPANIJA;opæina;TOUNJ;001;BIRAÈKO MJESTO BR. 1;"PROSTORIJE KULTURNO-UMJETNIÈKOG DRUŠTVA ""TOUNJÈICA""";TOUNJ 26;317;71;71;71;0;64;7
04;KARLOVAÈKA ŽUPANIJA;opæina;TOUNJ;002;BIRAÈKO MJESTO BR. 2;"OSNOVNA ŠKOLA ""KAMENICA SKRADNIÈKA""";KAMENICA 55;196;48;48;48;0;40;8
04;KARLOVAÈKA ŽUPANIJA;opæina;TOUNJ;003;BIRAÈKO MJESTO BR. 3;"OSNOVNA ŠKOLA ""LUCIJA CAPAN""";ZDENAC 45;226;48;48;48;0;39;9
04;KARLOVAÈKA ŽUPANIJA;opæina;TOUNJ;004;BIRAÈKO MJESTO BR. 4;"OBJEKT ""BOÆARA""";BRLETIÆI BB;159;23;23;23;0;20;3
04;KARLOVAÈKA ŽUPANIJA;opæina;VOJNIÆ;001;BIRAÈKO MJESTO BR. 1;UTINJA VRELO - KUÆA RADE BASARA;PODSEDLO 36;272;33;33;33;0;26;7
04;KARLOVAÈKA ŽUPANIJA;opæina;VOJNIÆ;002;BIRAÈKO MJESTO BR. 2;KNEŽEVIÆ KOSA - KUÆA MILE MIHANOVIÆ;KNEŽEVIÆ KOSA 34;259;67;67;66;1;61;5
04;KARLOVAÈKA ŽUPANIJA;opæina;VOJNIÆ;003;BIRAÈKO MJESTO BR. 3;BUKOVICA UTINJSKA - KUÆA JEKE BIJELIÆ;BUKOVICA UTINJSKA 27;99;7;7;6;1;4;2
04;KARLOVAÈKA ŽUPANIJA;opæina;VOJNIÆ;004;BIRAÈKO MJESTO BR. 4;VOJIŠNICA - KUÆA DRAGANA VUKOBRATOVIÆ;VOJIŠNICA 99A;420;102;102;101;1;73;28
04;KARLOVAÈKA ŽUPANIJA;opæina;VOJNIÆ;005;BIRAÈKO MJESTO BR. 5;RADONJA - KUÆA PAJIÆ NENADA;GORNJI VOJNIÆ 26;291;69;69;64;5;49;15
04;KARLOVAÈKA ŽUPANIJA;opæina;VOJNIÆ;006;BIRAÈKO MJESTO BR. 6;VOJNIÆ - DOM KULTURE VOJNIÆ;ANDRIJE HEBRANGA 2;921;270;270;263;7;230;33
04;KARLOVAÈKA ŽUPANIJA;opæina;VOJNIÆ;007;BIRAÈKO MJESTO BR. 7;KUPLJENSKO - KUÆA NAPIJALO MILANA;KUPLJENSKO 108;263;35;35;35;0;26;9
04;KARLOVAÈKA ŽUPANIJA;opæina;VOJNIÆ;008;BIRAÈKO MJESTO BR. 8;KRSTINJA - ZGRADA POLJOPRIVREDNE ZADRUGE;KRSTINJA B.B.;230;20;20;20;0;14;6
04;KARLOVAÈKA ŽUPANIJA;opæina;VOJNIÆ;009;BIRAÈKO MJESTO BR. 9;MIHOLJSKO - KUÆA MIRKO PAVLOVIÆ;MIHOLJSKO 60;148;17;17;17;0;9;8
04;KARLOVAÈKA ŽUPANIJA;opæina;VOJNIÆ;010;BIRAÈKO MJESTO BR. 10;SVINICA KRSTINJSKA -  ZGRADA BIVŠE PODRUÈNE ŠKOLE;SVINICA KRSTINJSKA B.B.;387;63;63;61;2;52;9
04;KARLOVAÈKA ŽUPANIJA;opæina;VOJNIÆ;011;BIRAÈKO MJESTO BR. 11;ŠIROKA RIJEKA - KUÆA HUSEIN DELIÆ;ŠIROKA RIJEKA 9;174;47;47;47;0;39;8
04;KARLOVAÈKA ŽUPANIJA;opæina;VOJNIÆ;012;BIRAÈKO MJESTO BR. 12;KESTENOVAC - ZGRADA BIVŠE ŠKOLE;KESTENOVAC B.B.;105;2;2;2;0;2;0
04;KARLOVAÈKA ŽUPANIJA;opæina;ŽAKANJE;001;BIRAÈKO MJESTO BR. 1 BUBNJARCI;VATROGASNI DOM BUBNJARCI;BUBNJARCI;166;79;79;76;3;55;21
04;KARLOVAÈKA ŽUPANIJA;opæina;ŽAKANJE;002;BIRAÈKO MJESTO BR. 2 JUROVSKI BROD;VATROGASNI DOM JUROVSKI BROD;JUROVSKI BROD;363;125;125;116;9;80;36
04;KARLOVAÈKA ŽUPANIJA;opæina;ŽAKANJE;003;BIRAÈKO MJESTO BR. 3 JUROVO;VATROGASNI DOM JUROVO;JUROVO;73;55;55;51;4;37;14
04;KARLOVAÈKA ŽUPANIJA;opæina;ŽAKANJE;004;BIRAÈKO MJESTO BR. 4 MIŠINCI;VATROGASNI DOM MIŠINCI;MIŠINCI;102;52;52;50;2;35;15
04;KARLOVAÈKA ŽUPANIJA;opæina;ŽAKANJE;005;BIRAÈKO MJESTO BR. 5 BRIHOVO;VATROGASNI DOM BRIHOVO;BRIHOVO;138;58;58;56;2;34;22
04;KARLOVAÈKA ŽUPANIJA;opæina;ŽAKANJE;006;BIRAÈKO MJESTO BR. 6 ŽAKANJE;VATROGASNI DOM ŽAKANJE;ŽAKANJE;189;70;70;69;1;50;19
04;KARLOVAÈKA ŽUPANIJA;opæina;ŽAKANJE;007;BIRAÈKO MJESTO BR. 7 BREZNIK ŽAKANJSKI;KUÆA MIJE BOLDIN;BREZNIK ŽAK. KBR. 13;23;10;10;8;2;5;3
04;KARLOVAÈKA ŽUPANIJA;opæina;ŽAKANJE;008;BIRAÈKO MJESTO BR. 8 KOHANJAC;VATROGASNI DOM KOHANJAC;KOHANJAC;79;31;31;30;1;22;8
04;KARLOVAÈKA ŽUPANIJA;opæina;ŽAKANJE;009;BIRAÈKO MJESTO BR. 9 ZALUKA LIPNIÈKA;VATROGASNI DOM ZALUKA LIPNIÈKA;ZALUKA LIPNIÈKA;102;55;55;55;0;43;12
04;KARLOVAÈKA ŽUPANIJA;opæina;ŽAKANJE;010;BIRAÈKO MJESTO BR. 10 PRAVUTINA;VATROGASNI DOM PRAVUTINA;PRAVUTINA;184;82;82;81;1;63;18
04;KARLOVAÈKA ŽUPANIJA;opæina;ŽAKANJE;011;BIRAÈKO MJESTO BR. 11 VELIKA PAKA;VATROGASNI DOM VELIKA PAKA;VELIKA PAKA;107;49;49;45;4;31;14
04;KARLOVAÈKA ŽUPANIJA;opæina;ŽAKANJE;012;BIRAÈKO MJESTO BR. 12 MOŠANCI;VATROGASNI DOM MOŠANCI;MOŠANCI;51;16;16;16;0;14;2
