Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;IVAN CELJAK;DANIEL BERDAIS
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;002;KUTINA;TEHNIČKA ŠKOLA KUTINA - PROSTOR BR. 1;HRVATSKIH BRANITELJA 6;478;50;50;50;0;37;13
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;003;KUTINA;"O.Š. ""VLADIMIR VIDRIĆ"" - PROSTOR BR. 1";ŠKOLSKA 2;328;68;68;66;2;41;25
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;004;KUTINA;"O.Š. ""VLADIMIR VIDRIĆ"" - PROSTOR BR. 2";ŠKOLSKA 2;837;171;171;168;3;104;64
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;005;KUTINA;VATROGASNI DOM KUTINA;LJUDEVITA POSAVSKOG 27;509;96;96;93;3;59;34
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;006;KUTINA;"DJEČJI VRTIĆ""MASLAČAK""";ANDRIJE HEBRANGA 1;711;163;163;160;3;98;62
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;007;KUTINA;ŠUMARIJA;UL. ANTUNA GUSTAVA MATOŠA;867;153;153;148;5;94;54
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;008;KUTINA;"O.Š. ""STJEPAN KEFELJA"" - PROSTOR BR. 2";NIKOLE TESLE 1;668;112;112;112;0;86;26
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;009;KUTINA;"O.Š. ""STJEPAN KEFELJA"" - PROSTOR BR. 3";NIKOLE TESLE 1;707;109;109;105;4;68;37
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;010;KUTINA;"O.Š. ""MATE LOVRAK"" - PROSTOR BR. 1";CRKVENA 59;679;106;106;103;3;77;26
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;011;KUTINA;"O.Š. ""MATE LOVRAK"" - PROSTOR BR. 2";CRKVENA 59;431;89;89;83;6;58;25
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;012;KUTINA;TEHNIČKA ŠKOLA KUTINA PROSTOR BR. 2;HRVATSKIH BRANITELJA 6;771;157;157;150;7;90;60
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;013;KUTINA;"O.Š. ""ZVONIMIR FRANK"" - PROSTOR BR. 1";SILVIJA STRAHIMIRA KRANJČEVIĆA 2;931;122;121;119;2;90;29
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;014;KUTINA;"O.Š. ""ZVONIMIR FRANK"" - PROSTOR BR. 2";SILVIJA STRAHIMIRA KRANJČEVIĆA 2;735;130;130;127;3;101;26
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;015;KUTINA;DOM RADNIČKO NASELJE;HUSAINSKA 41;316;43;43;42;1;26;16
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;016;KUTINA;DOM;ULICA STJEPANA RADIĆA;1003;145;145;136;9;119;17
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;017;DOM REPUŠNICA;DOM REPUŠNICA;REPUŠNICA, LJUDEVITA GAJA 101;840;241;241;232;9;187;45
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;018;ŠKOLA REPUŠNICA;ŠKOLA REPUŠNICA;REPUŠNICA, LJUDEVITA GAJA 120;707;164;164;155;9;123;32
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;019;MEĐURIĆ;DOM MEĐURIĆ;MEĐURIĆ;387;97;97;96;1;61;35
