Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;KRISTINA IKIĆ BANIČEK;ŽELJKA JOSIĆ
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;028;SISAK;PROSTORIJE  PRIJAŠNJEG MO CAPRAG;ANDRIJE HEBRANGA 25;1359;615;615;598;17;411;187
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;029;SISAK;PROSTORIJE PRIJAŠNJEG MO IVAN BUIĆ;NINE MARAKOVIĆA 4;305;119;119;116;3;86;30
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;030;SISAK;PROSTORIJE DJ. VRTIĆA MASLAČAK;HRVATSKOG NARODNOG PREPORODA 33;762;332;332;326;6;233;93
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;031;SISAK;NARODNA KNJIŽNICA I ČITAONICA VLADO GOTOVAC - ODJEL CAPRAG;TRG HRVATSKE DRŽAVNOSTI 1;753;330;330;321;9;216;105
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;032;SISAK;OSNOVNA ŠKOLA BRAĆA BOBETKO SISAK;MARIJANA CVETKOVIĆA 2;928;412;412;403;9;246;157
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;033;SISAK;PROSTORIJE PRIJAŠNJEG MO IVAN BUIĆ;NINE MARAKOVIĆA 4;313;134;134;132;2;91;41
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;034;SISAK;DOM INA RAFINERIJE NAFTE SISAK;ANTE KOVAČIĆA 1;337;134;134;126;8;69;57
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;035;SISAK;DRUŠTVENI DOM, PROSTORIJE GRADSKE ČETVRTI CAPRAG ( PRIJAŠNJI MO EUGEN KVATERNIK);LASINJSKA UL 15;1313;606;606;587;19;327;260
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;036;SISAK;MO CRNAC U ZGRADI BIVŠE PODRUČNE ŠKOLE BRAĆA BOBETKO;ULICA BRAĆE BOBETKO;202;119;119;114;5;29;85
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;037;NOVO SELO;PROSTORIJE U VATROGASNOM DOMU DVD-A MLADOST U NOVOM SELU;NOVOSELSKA ULICA 50;504;219;219;213;6;110;103
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;038;CAPRAŠKE POLJANE;ROMSKA KUĆA;CAPRAŠKE POLJANE 54;353;218;218;212;6;161;51
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;039;NOVO PRAČNO;PROSTORIJE OŠ I.K. SAKCINSKI;NOVO PRAČNO;322;154;154;149;5;54;95
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;040;HRASTELNICA;OSNOVNA ŠKOLA GALDOVO - PODRUČNA ŠKOLA HRASTELNICA;HRASTELNICA 85 (UMJESTO U DRUŠTVENOM DOMU MO HRASTELNICA, HRASTELNICA 85A);691;341;341;334;7;162;172
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;041;PALANJEK;DRUŠTVENI DOM MO PALANJEK;PALANJEK BB;253;179;179;179;0;136;43
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;042;PRELOŠĆICA;PROSTORIJE DVD PRELOŠĆICA;PRELOŠĆICA;416;200;200;198;2;76;122
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;043;BUKOVSKO;DRUŠTVENI DOM BUKOVSKO;BUKOVSKO 10;65;26;26;25;1;5;20
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;044;KOMAREVO;DRUŠTVENI DOM MO KOMAREVO;GORNJE KOMAREVO 4;629;250;250;242;8;96;146
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;045;BLINJSKI KUT;DRUŠTVENI DOM BLINJSKI KUT;BLINJSKI KUT 34 A;240;89;89;88;1;61;27
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;046;MADŽARI;DRUŠTVENI DOM MO MADŽARI-LETOVANCI;MADŽARI 30 A;203;127;127;127;0;87;40
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;047;KLOBUČAK;ŠATOR NA POVRŠINI POKRAJ PROSTORIJA MO KLOBUČAK - KONTEJNER;KLOBUČAK BB;58;26;26;26;0;23;3
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;048;LETOVANCI;DRUŠTVENI DOM ( PROSTORIJE PRIJAŠNJEG MO LETOVANCI);LETOVANCI;46;35;35;35;0;17;18
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;049;ODRA;DRUŠTVENI DOM MO ODRA;ODRA SISAČKA 38;638;312;312;307;5;105;202
