Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;MARJAN TOMAS
14;OSJEÈKO-BARANJSKA ŽUPANIJA;opæina;VLADISLAVCI;001;VLADISLAVCI;OPÆINA VLADISLAVCI;KRALJA TOMISLAVA 141;471;255;255;249;6;249
14;OSJEÈKO-BARANJSKA ŽUPANIJA;opæina;VLADISLAVCI;002;VLADISLAVCI;OSNOVNA ŠKOLA MATE LOVRAKA;KRALJA TOMISLAVA 75;445;246;246;237;9;237
14;OSJEÈKO-BARANJSKA ŽUPANIJA;opæina;VLADISLAVCI;003;DOPSIN;DOM KULTURE;JOSIPA JURJA STROSSMAYERA 70;389;174;174;168;6;168
14;OSJEÈKO-BARANJSKA ŽUPANIJA;opæina;VLADISLAVCI;004;HRASTIN;DOM KULTURE;ŠANDORA PETEFIJA 64;249;125;125;114;11;114
