Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DANIJELA MLINAREVIĆ
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;JAGODNJAK;001;JAGODNJAK;"DOM KULTURE PRIZEMLJE (BIVŠI ""SAJRIĆ"")";BORISA KIDRIČA 100;512;224;224;193;31;193
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;JAGODNJAK;002;JAGODNJAK;DOM KULTURE VELIKA SALA;BORISA KIDRIČA 100;439;214;214;196;18;196
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;JAGODNJAK;003;BOLMAN;SALA DOMA KULTURE;SAVE KOVAČEVIĆA 74;496;298;297;291;6;291
