Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DOMOVINSKI POKRET - DP, STRANKA UMIROVLJENIKA - SU;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, NEZAVISNA LISTA ANTE ĐAPIĆA - NL ANTE ĐAPIĆA, AKTIVNI NEZAVISNI UMIROVLJENICI - ANU, HRVATSKA STRANKA UMIROVLJENIKA - HSU, HRVATSKA STRANKA PRAVA - HSP, DEMOKRATSKI HSS - DHSS, BLOK UMIROVLJENICI ZAJEDNO - BUZ, HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS;HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS, HRVATSKA SELJAČKA STRANKA - HSS, NARODNA STRANKA - REFORMISTI - REFORMISTI;MOST, HRVATSKI SUVERENISTI;SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS;SNAGA SLAVONIJE I BARANJE - Snaga SiB;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELIŠĆE;012;KITIŠANCI;DOM HRVATSKE MLADEŽI;NOVA 22;141;68;68;67;1;17;27;6;6;1;6;4
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELIŠĆE;013;TIBORJANCI;HRVATSKI DOM;BRAĆE RADIĆA 2;234;136;136;132;4;41;60;4;4;0;14;9
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELIŠĆE;014;VELIŠKOVCI;OSNOVNA ŠKOLA;ULICA KRALJA TOMISLAVA 76;532;233;233;227;6;77;92;13;6;0;31;8
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELIŠĆE;015;VINOGRADCI;OSNOVNA ŠKOLA;KRALJA TOMISLAVA 28;206;111;111;108;3;47;39;7;2;0;9;4
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;DONJI MIHOLJAC;001;DONJI MIHOLJAC;SREDNJA ŠKOLA;VUKOVARSKA 84;529;269;269;257;12;54;129;14;10;2;17;31
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;DONJI MIHOLJAC;002;DONJI MIHOLJAC;SREDNJA ŠKOLA;VUKOVARSKA 84;603;248;247;240;7;55;109;14;8;3;19;32
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;DONJI MIHOLJAC;003;DONJI MIHOLJAC;OBRTNIČKI DOM;KOLODVORSKA 41;634;235;235;223;12;45;106;9;15;3;11;34
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;DONJI MIHOLJAC;004;DONJI MIHOLJAC;OBRTNIČKI DOM;KOLODVORSKA 41;743;298;298;281;17;54;153;15;15;0;17;27
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;DONJI MIHOLJAC;005;DONJI MIHOLJAC;NARODNA KNJIŽNICA GRADA DONJEG MIHOLJCA;TRG ANTE STARČEVIĆA 22;763;327;327;311;16;60;163;17;18;2;22;29
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;DONJI MIHOLJAC;006;DONJI MIHOLJAC;NARODNA KNJIŽNICA GRADA DONJEG MIHOLJCA;TRG ANTE STARČEVIĆA 22;475;204;204;183;21;44;92;8;12;1;11;15
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;DONJI MIHOLJAC;007;DONJI MIHOLJAC;"GRADSKA UPRAVA, DVORAC ""MAILATH"", VELIKA SALA";VUKOVARSKA 1;636;260;260;243;17;51;114;13;19;3;20;23
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;DONJI MIHOLJAC;008;DONJI MIHOLJAC;"GRADSKA UPRAVA, DVORAC ""MAILATH"", MALA SALA";VUKOVARSKA 1;584;197;197;183;14;39;100;6;7;1;14;16
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;DONJI MIHOLJAC;009;RAKITOVICA;DRUŠTVENI DOM;VENOSEVA 44B;686;290;290;275;15;51;159;16;17;0;23;9
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;DONJI MIHOLJAC;010;MIHOLJAČKI POREČ;MJESNI ODBOR;EUGENA KRAJA 59;134;84;84;81;3;12;49;7;3;1;7;2
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;DONJI MIHOLJAC;011;GOLINCI;DRUŠTVENI DOM;KRALJA TOMISLAVA BB;344;131;131;130;1;17;91;5;4;0;6;7
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;DONJI MIHOLJAC;012;RADIKOVCI;MJESNI ODBOR;MATIJE GUPCA 83;237;110;110;102;8;28;63;3;2;0;4;2
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;DONJI MIHOLJAC;013;SVETI ĐURAĐ;MJESNI ODBOR;ŠKOLSKA 104;618;231;231;226;5;55;127;9;8;0;19;8
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;DONJI MIHOLJAC;014;PODGAJCI PODRAVSKI;VATROGASNI DOM;VLADIMIRA NAZORA 134;509;174;174;170;4;47;92;3;6;1;15;6
