Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;TOMICA GLAVAŠ;BERISLAV SUDAR;HRVOJE SUDAR;SREĆKO VUKOVIĆ
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;BIZOVAC;001;BROĐANCI;OSNOVNA ŠKOLA;ŠKOLSKA 1;421;222;222;220;2;10;7;81;122
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;BIZOVAC;002;HABJANOVCI;OSNOVNA ŠKOLA;ŠKOLSKA 14;349;187;187;187;0;10;5;64;108
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;BIZOVAC;003;NOVAKI BIZOVAČKI;DRUŠTVENI DOM;IMOTSKA 24;159;95;95;95;0;9;3;29;54
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;BIZOVAC;004;SAMATOVCI;OSNOVNA ŠKOLA;PERE KOVAČEVIĆA 5;552;248;248;240;8;11;26;78;125
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;BIZOVAC;005;CRET BIZOVAČKI;OSNOVNA ŠKOLA;MATIJE GUPCA 64;451;210;210;203;7;16;6;44;137
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;BIZOVAC;006;BIZOVAC;KUD BIZOVAC;ULICA KRALJA TOMISLAVA 136;967;482;482;469;13;51;39;135;244
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;BIZOVAC;007;BIZOVAC;OSNOVNA ŠKOLA;ULICA DR. FRANJE TUĐMANA 1;728;396;396;393;3;36;31;124;202
