Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;DRAGAN ZAHIJA
08;PRIMORSKO-GORANSKA ŽUPANIJA;opæina;VRBNIK;001;VRBNIK;ZGRADA OPÆINE,  PRIZEMLJE;VRBNIK, TRG ŠKUJICA 7;857;455;453;362;91;362
08;PRIMORSKO-GORANSKA ŽUPANIJA;opæina;VRBNIK;002;RISIKA;ZGRADA STARE ŠKOLE;VRBNIK, RISIKA BB;180;80;80;66;14;66
08;PRIMORSKO-GORANSKA ŽUPANIJA;opæina;VRBNIK;003;GARICA;ZGRADA STARE ŠKOLE;VRBNIK, GARICA BB;161;91;91;74;17;74
