Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS;HRVATSKA STRANKA PRAVA - HSP, DOMOVINSKI POKRET - DP;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;OMIŠALJ;001;OMIŠALJ;"KNJIŽNICA ""VID OMIŠLJANIN""";OMIŠALJ, PRIKEŠTE 13;595;276;276;275;1;63;46;166
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;OMIŠALJ;002;OMIŠALJ;VIJEĆNICA OPĆINE OMIŠALJ PRVI KAT LIJEVO;OMIŠALJ, PRIKEŠTE 13;1284;616;616;608;8;187;102;319
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;OMIŠALJ;003;NJIVICE;"PROSTORIJE MJESNOG ODBORA ""NJIVICE""";NJIVICE, RIBARSKA OBALA 10;531;234;234;229;5;83;33;113
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;OMIŠALJ;004;NJIVICE;PROSTORIJE DRUŠTVENOG CENTRA KIJAC;NJIVICE, CVJETNI TRG 8;731;322;322;317;5;72;34;211
