Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DALIBOR ČANDRLIĆ;RANKO FRKA;MIHAJLO MIKIĆ
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;KRALJEVICA;001;KRALJEVICA;I KAT - VIJEĆNICA;FRANKOPANSKA 1A;1167;594;594;578;16;419;144;15
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;KRALJEVICA;002;KRALJEVICA;DOM KULTURE I SPORTA, PROSTORIJA UDRUGE UMIROVLJENIKA;STROSSMAYEROVA 29;1186;523;523;519;4;330;183;6
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;KRALJEVICA;003;BAKARAC;PROSTORIJE DRUŠTVENOG DOMA;BAKARAC 8;265;140;140;138;2;90;45;3
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;KRALJEVICA;004;KRIŽIŠĆE;PROSTORIJE DRUŠTVENOG DOMA;KRIŽIŠĆE 27;386;210;210;196;14;133;34;29
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;KRALJEVICA;005;ŠMRIKA;"PROSTORIJE DRUŠTVENOG  DOMA ""IVICA TURINA""";BURIĆEVA 38;906;431;431;421;10;247;90;84
