Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;AKCIJA MLADIH - AM, UNIJA KVARNERA - UNIJA, ALTERNATIVA 101 - ALTERNATIVA;BURA;DOMOVINSKI POKRET - DP, HRVATSKA STRANKA PRAVA - HSP;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS;LISTA ZA RIJEKU - RI, KVARNERSKA INICIJATIVA - REGIONALNA PLATFORMA - KVARNERSKA, STRANKA UMIROVLJENIKA - SU;MOST;MOŽEMO! - POLITIÈKA PLATFORMA, NOVA LJEVICA - NL, ZELENA ALTERNATIVA - ODRŽIVI RAZVOJ HRVATSKE - Zelena alternativa - ORaH;RADNIÈKA FRONTA - RF;KANDIDACIJSKA LISTA GRUPE BIRAÈA -  IVA RINÈIÆ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, PRIMORSKO GORANSKI SAVEZ - PGS, ISTARSKI DEMOKRATSKI SABOR - IDS, HRVATSKA STRANKA UMIROVLJENIKA - HSU, HRVATSKA SELJAÈKA STRANKA - HSS
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;CRIKVENICA;007;DRAMALJ;"""ZADRUŽNI DOM""";DRAMALJ, DRAMALJSKO SELCE 30;1779;625;625;611;14;34;4;21;180;13;24;24;21;30;260
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;CRIKVENICA;008;JADRANOVO;DOM KULTURE JADRANOVO;JADRANOVO, IVANA GORANA KOVAÈIÆA 1;1338;480;480;467;13;20;7;25;205;5;14;13;12;24;142
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;CRIKVENICA;009;SELCE;PODRUÈNA ŠKOLA SELCE;SELCE, ANDRIJE ANTIÆA 33;1578;625;625;607;18;38;6;17;213;21;30;26;17;20;219
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;ÈABAR;001;BIRAÈKO MJESTO BR. 1 U ÈABRU;VIJEÆNICA GRADA ÈABRA U ÈABRU;NARODNOG OSLOBOÐENJA 2, ÈABAR;623;334;334;318;16;26;3;6;58;13;22;15;10;3;162
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;ÈABAR;002;BIRAÈKO MJESTO BR. 2 U PREZIDU;ZGRADA OSNOVNE ŠKOLE U PREZIDU;GORANSKA 103, PREZID;743;394;394;370;24;24;2;2;60;12;59;12;5;7;187
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;ÈABAR;003;BIRAÈKO MJESTO BR. 3 U TRŠÆU;ZGRADA DRUŠTVENOG DOMA U TRŠÆU;ŠKOLSKA 1, TRŠÆE;783;443;443;419;24;31;5;20;63;11;41;19;12;19;198
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;ÈABAR;004;BIRAÈKO MJESTO BR. 4 U GEROVU;ZGRADA OSNOVNE ŠKOLE U GEROVU;ZAGREBAÈKA 2, GEROVO;906;500;500;482;18;19;3;5;134;10;29;20;11;9;242
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;ÈABAR;005;BIRAÈKO MJESTO BR. 5 U PLEŠCIMA;ZGRADA DRUŠTVENOG DOMA U PLEŠCIMA;ANTUNA MUHVIÆA 1, PLEŠCE;270;162;162;160;2;8;0;4;46;3;18;4;0;2;75
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;DELNICE;001;BIRAÈKO MJESTO BR. 1;"ZGRADA PODRUÈNE OŠ ""I.G. KOVAÈIÆA"" CRNI LUG";CRNI LUG, I.G. KOVAÈIÆA 2;322;149;149;141;8;11;1;5;37;6;2;6;0;1;72
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;DELNICE;002;BIRAÈKO MJESTO BR. 2;ZGRADA MGP LUÈICE;LUÈICE, LUÈIÆKA CESTA 1;291;70;70;68;2;5;1;9;16;2;0;2;2;6;25
