Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DAVORIN KLOBUČAR;KATARINA MIHELČIĆ;IVANA PEČNIK KASTNER;IVAN PIŠKOR;IGOR PLEŠE
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;DELNICE;001;BIRAČKO MJESTO BR. 1;"ZGRADA PODRUČNE OŠ ""I.G. KOVAČIĆA"" CRNI LUG";CRNI LUG, I.G. KOVAČIĆA 2;322;149;148;142;6;2;25;48;11;56
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;DELNICE;002;BIRAČKO MJESTO BR. 2;ZGRADA MGP LUČICE;LUČICE, LUČIĆKA CESTA 1;291;70;70;70;0;14;29;7;7;13
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;DELNICE;003;BIRAČKO MJESTO BR. 3;ZGRADA RADNIČKOG DOMA DELNICE;DELNICE, ŠKOLSKA 24;1127;532;532;523;9;23;202;111;29;158
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;DELNICE;004;BIRAČKO MJESTO BR. 4;ZGRADA SUDA DELNICE;DELNICE, TINA UJEVIĆA 1;1231;544;544;531;13;24;231;79;45;152
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;DELNICE;005;BIRAČKO MJESTO BR. 5;ZGRADA ŠUMARIJE DELNICE;DELNICE, PETRA KREŠIMIRA IV  53;1288;621;621;614;7;23;306;82;46;157
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;DELNICE;006;BIRAČKO MJESTO BR. 6;"ZGRADA OSNOVNE ŠKOLE ""F.K.FRANKOPANA""  BROD NA KUPI";BROD NA KUPI, KRALJA TOMISLAVA 17 A;369;173;173;169;4;86;47;15;6;15
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;DELNICE;007;BIRAČKO MJESTO BR. 7;ZGRADA OSNOVNE ŠKOLE TURKE;TURKE, TURKE 19;133;59;59;59;0;24;12;12;0;11
