Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;HRVATSKA STRANKA PRAVA - HSP, DOMOVINSKI POKRET - DP;KANDIDACIJSKA LISTA GRUPE BIRAÈA -  DAVORIN KLOBUÈAR;KANDIDACIJSKA LISTA GRUPE BIRAÈA -  KATARINA MIHELÈIÆ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, PRIMORSKO GORANSKI SAVEZ - PGS
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;DELNICE;001;BIRAÈKO MJESTO BR. 1;"ZGRADA PODRUÈNE OŠ ""I.G. KOVAÈIÆA"" CRNI LUG";CRNI LUG, I.G. KOVAÈIÆA 2;322;149;148;141;7;48;11;3;26;53
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;DELNICE;002;BIRAÈKO MJESTO BR. 2;ZGRADA MGP LUÈICE;LUÈICE, LUÈIÆKA CESTA 1;291;70;70;68;2;11;7;13;23;14
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;DELNICE;003;BIRAÈKO MJESTO BR. 3;ZGRADA RADNIÈKOG DOMA DELNICE;DELNICE, ŠKOLSKA 24;1127;532;532;526;6;120;51;16;161;178
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;DELNICE;004;BIRAÈKO MJESTO BR. 4;ZGRADA SUDA DELNICE;DELNICE, TINA UJEVIÆA 1;1231;544;544;529;15;99;56;14;180;180
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;DELNICE;005;BIRAÈKO MJESTO BR. 5;ZGRADA ŠUMARIJE DELNICE;DELNICE, PETRA KREŠIMIRA IV  53;1288;621;621;611;10;96;66;19;260;170
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;DELNICE;006;BIRAÈKO MJESTO BR. 6;"ZGRADA OSNOVNE ŠKOLE ""F.K.FRANKOPANA""  BROD NA KUPI";BROD NA KUPI, KRALJA TOMISLAVA 17 A;369;173;173;167;6;24;7;76;39;21
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;DELNICE;007;BIRAÈKO MJESTO BR. 7;ZGRADA OSNOVNE ŠKOLE TURKE;TURKE, TURKE 19;133;59;59;59;0;15;3;15;7;19
