Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;PETAR MAMULA;DUŠAN STIPANOVIĆ
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;ČABAR;005;BIRAČKO MJESTO BR. 5 U PLEŠCIMA;ZGRADA DRUŠTVENOG DOMA U PLEŠCIMA;ANTUNA MUHVIĆA 1, PLEŠCE;0;0;0;0;0;0;0
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;DELNICE;001;BIRAČKO MJESTO BR. 1;"ZGRADA PODRUČNE OŠ ""I.G. KOVAČIĆA"" CRNI LUG";CRNI LUG, I.G. KOVAČIĆA 2;5;0;0;0;0;0;0
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;DELNICE;002;BIRAČKO MJESTO BR. 2;ZGRADA MGP LUČICE;LUČICE, LUČIĆKA CESTA 1;30;0;0;0;0;0;0
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;DELNICE;003;BIRAČKO MJESTO BR. 3;ZGRADA RADNIČKOG DOMA DELNICE;DELNICE, ŠKOLSKA 24;46;0;0;0;0;0;0
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;DELNICE;004;BIRAČKO MJESTO BR. 4;ZGRADA SUDA DELNICE;DELNICE, TINA UJEVIĆA 1;53;3;3;3;0;3;0
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;DELNICE;005;BIRAČKO MJESTO BR. 5;ZGRADA ŠUMARIJE DELNICE;DELNICE, PETRA KREŠIMIRA IV  53;47;1;1;1;0;1;0
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;DELNICE;006;BIRAČKO MJESTO BR. 6;"ZGRADA OSNOVNE ŠKOLE ""F.K.FRANKOPANA""  BROD NA KUPI";BROD NA KUPI, KRALJA TOMISLAVA 17 A;3;0;0;0;0;0;0
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;DELNICE;007;BIRAČKO MJESTO BR. 7;ZGRADA OSNOVNE ŠKOLE TURKE;TURKE, TURKE 19;0;0;0;0;0;0;0
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;KASTAV;001;KASTAV;DOM BRAĆE MATEŠIĆ;ŠPOROVA JAMA 2;30;0;0;0;0;0;0
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;KASTAV;002;KASTAV;PROSTORIJA DRUŠTVENOG DOMA BRNČIĆI;BRNČIĆI 66;56;1;1;1;0;1;0
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;KASTAV;003;KASTAV;PROSTORIJA U PRIZEMLJU ZGRADE (MO REŠETARI);ŠTIVAR 13;166;1;1;1;0;1;0
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;KASTAV;004;KASTAV;"PROSTORIJA GLAZBENOG DOMA ""DR. VOJKO VLAH""";SPINČIĆI 47;75;1;1;1;0;1;0
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;KASTAV;005;KASTAV;PROSTORIJA DRUŠTVENOG DOMA BRAĆE MILIH (PRIZEMLJE);RUBEŠI 65;62;1;1;1;0;1;0
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;KASTAV;006;KASTAV;PROSTORIJA DRUŠTVENOG DOMA BRAĆE MILIH (SUTEREN);RUBEŠI 65;32;0;0;0;0;0;0
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;KASTAV;007;KASTAV;PROSTORIJA ŠKOLSKE SPORTSKE DVORANE;STRAŽNICA 2;61;4;4;4;0;4;0
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;KRALJEVICA;001;KRALJEVICA;I KAT - VIJEĆNICA;FRANKOPANSKA 1A;62;0;0;0;0;0;0
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;KRALJEVICA;002;KRALJEVICA;DOM KULTURE I SPORTA, PROSTORIJA UDRUGE UMIROVLJENIKA;STROSSMAYEROVA 29;49;0;0;0;0;0;0
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;KRALJEVICA;003;BAKARAC;PROSTORIJE DRUŠTVENOG DOMA;BAKARAC 8;3;0;0;0;0;0;0
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;KRALJEVICA;004;KRIŽIŠĆE;PROSTORIJE DRUŠTVENOG DOMA;KRIŽIŠĆE 27;10;0;0;0;0;0;0
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;KRALJEVICA;005;ŠMRIKA;"PROSTORIJE DRUŠTVENOG  DOMA ""IVICA TURINA""";BURIĆEVA 38;13;0;0;0;0;0;0
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;KRK;001;KRK;GALERIJA DECUMANUS;KRK, J.J.STROSSMAYERA BB;26;5;5;5;0;5;0
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;KRK;002;KRK;MALA VIJEĆNICA GRADA KRKA;KRK, TRG JOSIPA BANA JELAČIĆA BR.2;31;0;0;0;0;0;0
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;KRK;003;KRK;VELIKA VIJEĆ. GRADA KRKA - I DIO;KRK, TRG JOSIPA BANA JELAČIĆA BR.2;54;2;2;2;0;2;0
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;KRK;004;KRK;VELIKA VIJEĆ. GRADA KRKA - II DIO;KRK, TRG JOSIPA BANA JELAČIĆA BR.2;30;0;0;0;0;0;0
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;KRK;005;KORNIĆ;MJESNI DOM KORNIĆ;KORNIĆ;28;0;0;0;0;0;0
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;KRK;006;VRH;MJESNI DOM VRH;VRH;9;0;0;0;0;0;0
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;KRK;007;PINEZIĆI;MJESNI DOM PINEZIĆI;PINEZIĆI;5;0;0;0;0;0;0
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;KRK;008;MILOHNIĆI;MJESNI DOM MILOHNIĆI;MILOHNIĆI;4;0;0;0;0;0;0
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;KRK;009;POLJICA;ŠKOLA POLJICA;POLJICA 14;5;0;0;0;0;0;0
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;MALI LOŠINJ;001;MALI LOŠINJ;GRAD MALI LOŠINJ;MALI LOŠINJ, RIVA LOŠINJSKIH KAPETANA 7;69;3;3;3;0;3;0
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;MALI LOŠINJ;002;MALI LOŠINJ;MUZEJ APOKSIOMENA;MALI LOŠINJ, RIVA LOŠINJSKIH KAPETANA 13;45;2;2;2;0;2;0
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;MALI LOŠINJ;003;MALI LOŠINJ;VODOOPSKRBA I ODVODNJA CRES LOŠINJ D.O.O.;MALI LOŠINJ, TRG ŽRTAVA FAŠIZMA 6;59;4;4;4;0;4;0
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;MALI LOŠINJ;004;MALI LOŠINJ;UDRUGA UMIROVLJENIKA GRADA MALOG LOŠINJA;MALI LOŠINJ, BRAĆE IVANA I STJEPANA VIDULIĆA 14;82;2;2;2;0;2;0
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;MALI LOŠINJ;005;MALI LOŠINJ;POSLOVNI PROSTOR BIVŠE POSLOVNICE OTP BANKE;MALI LOŠINJ, CRESKA 3;63;3;3;3;0;3;0
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;MALI LOŠINJ;006;VELI LOŠINJ;PROSTORIJA MJESNOG ODBORA;VELI LOŠINJ, OBALA MARŠALA TITA 36;36;1;1;1;0;1;0
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;MALI LOŠINJ;007;ILOVIK;ILOVIK - PROSTORIJA MJESNOG ODBORA;ILOVIK;0;0;0;0;0;0;0
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;MALI LOŠINJ;008;SUSAK;SUSAK - PROSTORIJE MJESNOG ODBORA - DOM ISELJENIKA;SUSAK;5;0;0;0;0;0;0
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;MALI LOŠINJ;009;UNIJE;UNIJE - PROSTORIJA OSNOVNE ŠKOLE;UNIJE;2;2;2;2;0;2;0
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;MALI LOŠINJ;010;ĆUNSKI;ĆUNSKI - PROSTORIJE MJESNOG ODBORA;ĆUNSKI BR. 23;21;0;0;0;0;0;0
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;MALI LOŠINJ;011;NEREZINE;"NEREZINE - PROSTORIJA ""GRADSKE VIJEĆNICE""";NEREZINE, TRG STUDENAC;14;0;0;0;0;0;0
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;MALI LOŠINJ;012;PUNTA KRIŽA;PUNTA KRIŽA - PROSTORIJA OSNOVNE ŠKOLE;PUNTA KRIŽA;2;1;1;1;0;1;0
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;MALI LOŠINJ;013;BELEJ;"BELEJ - PROSTORIJA ""ZADRUŽNOG DOMA""";BELEJ;0;0;0;0;0;0;0
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;NOVI VINODOLSKI;001;BIRAČKO MJESTO BR. 1;PROSTORIJE MJESNOG ODBORA KLENOVICA;KLENOVICA, OMLADINSKI PRILAZ 2;12;3;3;3;0;3;0
