Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;LUKA GRGURIÆ;NIKOLA GRGURIÆ;EROS GRUBIŠIÆ;ZDENKO MATIJEVIÆ
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RAB;001;RAB;PROSTORIJA GRADSKE VIJEÆNICE GRADA RABA;RAB MUNICIPIUM ARBA 2;413;250;250;240;10;22;92;92;34
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RAB;002;SUPETARSKA DRAGA;PODRUÈNA ŠKOLA SUPETARSKA  DRAGA;SUPETARSKA DRAGA;1012;492;492;467;25;47;248;137;35
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RAB;003;MUNDANIJE;PODRUÈNA ŠKOLA MUNDANIJE;MUNDANIJE;442;258;258;248;10;16;142;71;19
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RAB;004;KAMPOR;PODRUÈNA ŠKOLA KAMPOR;KAMPOR;990;474;474;457;17;57;276;91;33
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RAB;005;PALIT;"O.Š.""IVANA RABLJANINA"" - UÈ. IV. RAZ";PALIT;1517;802;802;777;25;92;411;223;51
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RAB;006;BANJOL 2;PODRUÈNA ŠKOLA BANJOL;BANJOL;583;287;287;281;6;30;155;87;9
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RAB;007;BANJOL 1;"OŠ ""IVANA  RABLJANINA "" - UÈION. I.RAZ.";BANJOL;1154;658;658;628;30;68;336;180;44
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RAB;008;BARBAT;"PODRUÈNA ŠKOLA  ""BARBAT""";BARBAT;1108;548;548;525;23;59;286;142;38
