Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;DARKO KOREN;MLADEN KEŠER
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;NOVIGRAD PODRAVSKI;003;NOVIGRAD PODRAVSKI;"OSNOVNA ŠKOLA ""PROF. BLAŽ MAÐER""";GAJEVA ULICA 17A;329;77;77;73;4;37;36
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;NOVIGRAD PODRAVSKI;004;DELOVI;"""PODRUÈNA ŠKOLA DELOVI""";DELOVI 59;177;44;44;43;1;22;21
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;NOVIGRAD PODRAVSKI;005;BOROVLJANI;"""DRUŠTVENI DOM BOROVLJANI""";BOROVLJANI 77;182;42;42;40;2;17;23
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;NOVIGRAD PODRAVSKI;006;VLAISLAV;"""DRUŠTVENI DOM VLAISLAV""";VLAISLAV 30B;182;44;44;44;0;20;24
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;NOVIGRAD PODRAVSKI;007;PLAVŠINAC;"""PODRUÈNA ŠKOLA PLAVŠINAC""";PLAVŠINAC 9;120;15;15;15;0;4;11
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;NOVO VIRJE;001;CRNEC;VATROGASNI DOM CRNEC;TRG MLADOSTI 1, NOVO VIRJE;284;177;177;166;11;80;86
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;NOVO VIRJE;002;DRENOVICA;DRUŠTVENI DOM DRENOVICA;TRG VLADIMIRA JAGARINCA 2, NOVO VIRJE;360;216;216;199;17;100;99
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;NOVO VIRJE;003;MEDVEDIÈKA;VATROGASNI DOM MEDVEDIÈKA;MEDVEDIÈKA 63, NOVO VIRJE;269;146;146;134;12;86;48
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;PETERANEC;001;PETERANEC;PODRUÈNA ŠKOLA FRAN GALOVIÆ;ULICA MATIJE GUPCA 15;1091;307;307;305;2;153;152
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;PETERANEC;002;SIGETEC;PODRUÈNA ŠKOLA SIGETEC;ULICA BRAÆE RADIÆ 23;884;114;114;112;2;69;43
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;PETERANEC;003;KOMATNICA;DRUŠTVENI DOM U KOMATNICI;KOMATNICA BB;40;10;10;10;0;10;0
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;PODRAVSKE SESVETE;001;PODRAVSKE SESVETE;MALA VIJEÆNICA;IVANA MAŽURANIÆA 1;583;397;397;377;20;177;200
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;PODRAVSKE SESVETE;002;PODRAVSKE SESVETE;ZDRAVSTVENA AMBULANTA;IVANA MAŽURANIÆA 1;539;386;386;365;21;184;181
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;PODRAVSKE SESVETE;003;MEKIŠ;DRUŠTVENI DOM MEKIŠ;DRAVSKA  59;102;73;73;72;1;46;26
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;PODRAVSKE SESVETE;004;DRAGANCI;DRUŠTVENI DOM DRAGANCI;DRAGANCI 38 A;84;58;58;58;0;44;14
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;RASINJA;001;RASINJA;DRUŠTVENI DOM;TRG SV. FLORIJANA 16;743;512;512;501;11;216;285
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;RASINJA;002;SUBOTICA PODRAVSKA;DRUŠTVENI DOM;TRG MLADOSTI 22;442;267;267;260;7;161;99
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;RASINJA;003;CVETKOVEC;DRUŠTVENI DOM;TRG SVETOG TROJSTVA 14;171;76;76;71;5;51;20
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;RASINJA;004;GORICA;VATROGASNI DOM;GORICA 11;112;54;54;54;0;28;26
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;RASINJA;005;KUZMINEC;VATROGASNI DOM;KUZMINEC 105;226;119;119;116;3;56;60
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;RASINJA;006;KOLEDINEC;DRUŠTVENI DOM;KOLEDINEC 63B;126;85;85;81;4;25;56
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;RASINJA;007;BELANOVO SELO;DRUŠTVENI DOM;BELANOVO SELO 24;28;18;18;18;0;10;8
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;RASINJA;008;IVANÈEC;DRUŠTVENI DOM;IVANÈEC 30A;40;19;19;19;0;9;10
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;RASINJA;009;DUGA RIJEKA;BIVŠA ŠKOLA;DUGA RIJEKA 26;168;96;96;95;1;58;37
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;RASINJA;010;RIBNJAK;DRUŠTVENI DOM;RIBNJAK 12;38;32;32;32;0;24;8
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;RASINJA;011;RADELJEVO SELO;DRUŠTVENI DOM;RADELJEVO SELO 31;83;36;36;36;0;10;26
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;RASINJA;012;PRKOS;BIVŠA ŠKOLA;PRKOS 28;108;45;45;45;0;11;34
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;RASINJA;013;VELIKI POGANAC;DRUŠTVENI DOM;VELIKI POGANAC 38;169;91;91;90;1;56;34
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;RASINJA;014;LUDBREŠKI IVANAC;DRUŠTVENI DOM;LUDBREŠKI IVANAC 34;44;25;25;25;0;4;21
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;SOKOLOVAC;001;SOKOLOVAC;DRUŠTVENI DOM;SOKOLOVAC;482;133;133;131;2;57;74
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;SOKOLOVAC;002;LEPAVINA;PROSTORIJE RJ MEHANIZACIJA I PRIJEVOZ;LEPAVINA 20;303;46;46;46;0;25;21
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;SOKOLOVAC;003;DONJA VELIKA;VATROGASNI DOM;DONJA VELIKA;132;53;53;53;0;51;2
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;SOKOLOVAC;004;HUDOVLJANI;DRUŠTVENI DOM;HUDOVLJANI;167;107;107;107;0;99;8
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;SOKOLOVAC;005;PEŠÈENIK;STARA ŠKOLA;PEŠÈENIK;77;33;33;31;2;26;5
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;SOKOLOVAC;006;DONJI MASLARAC;DRUŠTVENI DOM;DONJI MASLARAC;118;51;51;50;1;43;7
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;SOKOLOVAC;007;MALA MUÈNA;DRUŠTVENI DOM;MALA MUÈNA;93;13;13;13;0;12;1
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;SOKOLOVAC;008;MALA BRANJSKA;DRUŠTVENI DOM;MALA BRANJSKA;69;11;11;11;0;8;3
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;SOKOLOVAC;009;LADISLAV SOKOLOVAÈKI;DRUŠTVENI DOM;LADISLAV SOKOLOVAÈKI;87;58;58;58;0;56;2
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;SOKOLOVAC;010;MILIÈANI;DRUŠTVENI DOM;MILIÈANI;257;48;48;47;1;32;15
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;SOKOLOVAC;011;TRNOVAC SOKOLOVAÈKI;DRUŠTVENI DOM;TRNOVAC SOKOLOVAÈKI;76;43;43;43;0;34;9
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;SOKOLOVAC;012;MALI POGANAC;DRUŠTVENI DOM;MALI POGANAC;225;38;38;36;2;20;16
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;SOKOLOVAC;013;VELIKA MUÈNA;HRVATSKI DOM;VELIKA MUÈNA;284;87;87;87;0;37;50
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;SOKOLOVAC;014;DOMAJI;DRUŠTVENI DOM;DOMAJI;218;45;45;45;0;32;13
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;SVETI IVAN ŽABNO;001;BREZOVLJANI;DRUŠTVENI DOM BREZOVLJANI;BREZOVLJANI 121;240;79;79;79;0;45;34
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;SVETI IVAN ŽABNO;002;CEPIDLAK;VATROGASNI DOM CEPIDLAK;CEPIDLAK 130;121;29;29;29;0;13;16
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;SVETI IVAN ŽABNO;003;CIRKVENA;DOM KULTURE CIRKVENA;TRG SLOBODE 1;401;82;82;80;2;41;39
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;SVETI IVAN ŽABNO;004;HRSOVO;VATROGASNI DOM HRSOVO;HRSOVO 69;200;59;59;59;0;32;27
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;SVETI IVAN ŽABNO;005;KENÐELOVEC;DRUŠTVENI DOM KENÐELOVEC;KENÐELOVEC 93;141;43;43;43;0;27;16
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;SVETI IVAN ŽABNO;006;LADINEC;VATROGASNI DOM LADINEC;LADINEC 28;193;36;36;35;1;16;19
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;SVETI IVAN ŽABNO;007;MARKOVAC KRIŽEVAÈKI;DRUŠTVENI DOM MARKOVAC KRIŽEVAÈKI;MARKOVAC KRIŽEVAÈKI 21;116;46;46;45;1;37;8
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;SVETI IVAN ŽABNO;008;NOVI GLOG;VATROGASNI DOM NOVI GLOG;NOVI GLOG 34;268;48;48;48;0;25;23
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;SVETI IVAN ŽABNO;009;RAŠÆANI;KUÆA LASIÆ STJEPANA;RAŠÆANI 24;87;18;18;17;1;6;11
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;SVETI IVAN ŽABNO;010;SVETI IVAN ŽABNO;KINO SALA;TRG KARLA LUKAŠA 1;490;133;133;132;1;71;61
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;SVETI IVAN ŽABNO;011;SVETI IVAN ŽABNO;OPÆINSKA VIJEÆNICA;TRG KARLA LUKAŠA 11;524;158;158;157;1;66;91
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;SVETI IVAN ŽABNO;012;SVETI PETAR ÈVRSTEC;"PODRUÈNA ŠKOLA ""GRIGOR VITEZ""";PURGA 53;300;55;55;55;0;40;15
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;SVETI IVAN ŽABNO;013;SVETI PETAR ÈVRSTEC;DRUŠTVENI DOM ŠTEFANCI-IŠTOKI;ŠTEFANCI-IŠTOKI 12;169;20;20;19;1;10;9
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;SVETI IVAN ŽABNO;014;ŠKRINJARI;KUÆA GORDANE MILOŠ;ŠKRINJARI 86;155;35;35;35;0;21;14
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;SVETI IVAN ŽABNO;015;TREMA;VATROGASNI DOM TREMA - BUDILOVO;BUDILOVO 68;151;32;32;32;0;26;6
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;SVETI IVAN ŽABNO;016;TREMA;VATROGASNI DOM TREMA - DVORIŠÆE;DVORIŠÆE 112;160;44;44;44;0;29;15
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;SVETI IVAN ŽABNO;017;TREMA;DRUŠTVENI DOM TREMA - GORNJE SELO;GORNJE SELO 55;166;59;59;57;2;34;23
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;SVETI IVAN ŽABNO;018;TREMA;"PODRUÈNA ŠKOLA ""GRIGOR VITEZ""";GRUBIŠEVO 17;80;26;26;26;0;21;5
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;SVETI PETAR OREHOVEC;001;HIŽANOVEC;PODRUÈNA ŠKOLA HIŽANOVEC;HIŽANOVEC 18;274;116;116;114;2;48;66
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;SVETI PETAR OREHOVEC;002;VINAREC;DRUŠTVENI DOM U NASELJU VINAREC;VINAREC 101;132;78;78;78;0;47;31
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;SVETI PETAR OREHOVEC;003;SVETI  PETAR  OREHOVEC;OSNOVNA ŠKOLA SVETI PETAR OREHOVEC;SVETI PETAR OREHOVEC 90;478;203;203;198;5;72;126
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;SVETI PETAR OREHOVEC;004;MEÐA;DRUŠTVENI DOM U NASELJU MEÐA;MEÐA 82;145;60;60;60;0;23;37
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;SVETI PETAR OREHOVEC;005;ZAISTOVEC;VATROGASNI  DOM U NASELJU  ZAISTOVEC;BREGI 66;206;71;71;71;0;57;14
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;SVETI PETAR OREHOVEC;006;GORNJI  FODROVEC;PODRUÈNA ŠKOLA FODROVEC;GORNJI FODROVEC 26;270;93;93;93;0;60;33
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;SVETI PETAR OREHOVEC;007;MOKRICE MIHOLEÈKE;DRUŠTVENI  DOM MOKRICE MIHOLEÈKE;MOKRICE MIHOLEÈKE 34;282;127;127;126;1;115;11
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;SVETI PETAR OREHOVEC;008;MIHOLEC;VATROGASNI DOM MIHOLEC;MIHOLEC 50;430;152;152;150;2;80;70
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;SVETI PETAR OREHOVEC;009;GREGUROVEC;PODRUÈNA ŠKOLA GREGUROVEC;GREGUROVEC 65;263;98;98;97;1;47;50
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;SVETI PETAR OREHOVEC;010;KAPELA  RAVENSKA;VATROGASNI DOM U NASELJU KAPELA RAVENSKA;KAPELA RAVENSKA 33;116;41;41;41;0;28;13
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;SVETI PETAR OREHOVEC;011;DEDINA;DRUŠTVENI DOM U NASELJU DEDINA;BLAGAJI 3;162;57;57;56;1;19;37
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;SVETI PETAR OREHOVEC;012;BOÈKOVEC;DRUŠTVENI DOM U NASELJU BOÈKOVEC;BOÈKOVEC 60;337;119;119;119;0;35;84
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;SVETI PETAR OREHOVEC;013;SELANEC;DOM DRUŠTVA SPORTSKE REKREACIJE SELANEC;SELANEC 90;199;83;83;81;2;10;71
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;SVETI PETAR OREHOVEC;014;GUŠÈEROVEC;VATROGASNI  DOM U NASELJU GUŠÈEROVEC;GUŠÈEROVEC 23;204;55;55;55;0;32;23
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;VIRJE;001;VIRJE;VJERONAUÈNA DVORANA;ULICA LJUDEVITA GAJA 11, VIRJE;438;83;83;81;2;43;38
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;VIRJE;002;VIRJE;NOVI DRUŠTVENI DOM VIRJE, VELIKA DVORANA;TRG DR. FRANJE TUÐMANA BB, VIRJE;448;62;62;59;3;36;23
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;VIRJE;003;VIRJE;VATROGASNI DOM;ULICA FRANA LUGARIÆA 13, VIRJE;351;72;72;71;1;51;20
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;VIRJE;004;VIRJE;GALERIJA TIŠLJAR;ÐURE SUDETE 12, VIRJE;633;105;105;97;8;61;36
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;VIRJE;005;VIRJE;BIVŠA ZGRADA OPÆINE VIRJE;TRG STJEPANA RADIÆA 7, VIRJE;687;123;123;122;1;71;51
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;VIRJE;006;MIHOLJANEC;DRUŠTVENI DOM MIHOLJANEC;ULICA ANTUNA MIHANOVIÆA;231;54;54;52;2;18;34
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;VIRJE;007;ŠEMOVCI;ZGRADA MJESNOG ODBORA ŠEMOVCI;ULICA STJEPANA RADIÆA;405;90;90;87;3;58;29
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;VIRJE;008;HAMPOVICA;VATROGASNI DOM HAMPOVICA;ULICA ŠIMUNA PANDURA, HAMPOVICA;183;21;21;19;2;15;4
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;VIRJE;009;RAKITNICA;VATROGASNI DOM RAKITNICA;RAKITNICA;91;35;35;35;0;17;18
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;VIRJE;010;DONJE ZDJELICE;VATROGASNI DOM DONJE ZDJELICE;DONJE ZDJELICE;64;21;21;21;0;17;4
