Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DOMOVINSKI POKRET - DP, MOST, HRVATSKA STRANKA UMIROVLJENIKA - HSU, STRANKA UMIROVLJENIKA - SU, ZELENA LISTA;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS;HRVATSKA SELJAČKA STRANKA - HSS, SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS;HRVATSKA STRANKA PRAVA - HSP;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, HRVATSKA STRANKA PRAVNE DRŽAVE - HSPD
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;NOVA BUKOVICA;001;NOVA BUKOVICA;DOM KULTURE NOVA BUKOVICA;TRG DR. FRANJE TUĐMANA 1;309;162;162;149;13;17;74;3;15;40
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;NOVA BUKOVICA;002;NOVA BUKOVICA;VATROGASNI DOM NOVA BUKOVICA;ZAGREBAČKA 3;312;185;185;177;8;15;79;4;8;71
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;NOVA BUKOVICA;003;BREZIK;MJESNI DOM;BREZIK;120;86;86;84;2;4;53;1;13;13
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;NOVA BUKOVICA;004;MILJEVCI;HRVATSKI-SLOVAČKI DOM;KRALJA TOMISLAVA 18;239;139;139;138;1;16;85;2;13;22
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;NOVA BUKOVICA;005;DOBROVIĆ;SEOSKI DOM;DOBROVIĆ;122;69;69;60;9;6;15;1;0;38
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;NOVA BUKOVICA;006;BUKOVAČKI ANTUNOVAC;SEOSKI DOM;BUKOVAČKI ANTUNOVAC;150;50;50;47;3;7;25;5;0;10
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;NOVA BUKOVICA;007;DONJA BUKOVICA;SEOSKI DOM;DONJA BUKOVICA;72;27;27;24;3;1;16;4;1;2
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;PITOMAČA;001;KLADARE;VATROGASNI DOM;KLADARE 33 B;360;198;198;188;10;19;123;10;2;34
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;PITOMAČA;002;DINJEVAC;PODRUČNA ŠKOLA;DINJEVAC, VLADIMIRA NAZORA 60;344;201;201;193;8;22;152;6;3;10
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;PITOMAČA;003;GRABROVNICA;PODRUČNA ŠKOLA;GRABROVNICA 98 A;323;192;192;186;6;27;103;27;3;26
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;PITOMAČA;004;STAROGRADAČKI MAROF;PODRUČNA ŠKOLA;STAROGRADAČKI MAROF 6 A;170;112;112;109;3;19;71;3;0;16
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;PITOMAČA;005;STARI GRADAC;PODRUČNA ŠKOLA;STARI GRADAC, VLADIMIRA NAZORA 115 B;522;256;255;246;9;28;168;16;0;34
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;PITOMAČA;006;TURNAŠICA;PODRUČNA ŠKOLA;TURNAŠICA, TRG STJEPANA SULIMANCA 5;249;120;120;115;5;9;72;7;3;24
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;PITOMAČA;007;SEDLARICA;PODRUČNA ŠKOLA;SEDLARICA 65 A;258;164;164;156;8;13;104;16;2;21
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;PITOMAČA;008;VELIKA ČREŠNJEVICA;PODRUČNA ŠKOLA;VELIKA ČREŠNJEVICA 130;370;197;197;189;8;14;149;4;2;20
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;PITOMAČA;009;MALA ČREŠNJEVICA;PODRUČNA ŠKOLA;MALA ČREŠNJEVICA 105;156;77;77;75;2;14;49;5;3;4
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;PITOMAČA;010;OTROVANEC;PODRUČNA ŠKOLA;OTROVANEC 89 A;480;244;244;228;16;34;144;29;2;19
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;PITOMAČA;011;PITOMAČA;VATROGASNI DOM;VINOGRADSKA 32;469;219;219;217;2;32;96;14;7;68
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;PITOMAČA;012;PITOMAČA;OPĆINA PITOMAČA;LJUDEVITA GAJA 26/I;423;223;223;219;4;24;125;6;5;59
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;PITOMAČA;013;PITOMAČA;ZGRADA UDRUŽENJA OBRTNIKA OPĆINE PITOMAČA;PETRA PRERADOVIĆA 5;381;184;184;174;10;25;95;7;5;42
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;PITOMAČA;014;PITOMAČA;PRIVATNA KUĆA VLADE SILADIĆA;PITOMAČA, BRAĆE RADIĆA 70;543;119;119;117;2;48;51;4;0;14
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;PITOMAČA;015;PITOMAČA;PRIVATNA KUĆA MARINE JAKUPEC;VLADIMIRA NAZORA 85 A;432;108;108;107;1;32;53;4;2;16
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;PITOMAČA;016;PITOMAČA;OSNOVNA ŠKOLA PETRA PRERADOVIĆA;TRG KRALJA TOMISLAVA 9;485;212;212;201;11;25;106;17;8;45
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;PITOMAČA;017;PITOMAČA;DRUŠTVENI DOM-GREDA;MIHOVILA PAVLEKA MIŠKINE 55 A;526;245;245;236;9;45;131;7;0;53
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;PITOMAČA;018;PITOMAČA;PRIVATNA KUĆA MARIJE DENT;PITOMAČA, LJUDEVITA GAJA 77;512;258;258;251;7;36;131;9;3;72
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;PITOMAČA;019;PITOMAČA;PRIVATNA KUĆA JELE MILANOVIĆ;DRAVSKA 104;361;180;180;167;13;35;83;8;2;39
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;PITOMAČA;020;PITOMAČA;PRIVATNA KUĆA ĐURE FONJAKA;DRAVSKA 247 F;359;123;123;122;1;22;61;8;1;30
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;PITOMAČA;021;KRIŽNICA;DRUŠTVENI DOM;KRIŽNICA 30;105;57;57;56;1;5;40;6;0;5
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;SOPJE;001;SOPJE;PROSTORIJE MJESNOG DOMA;KRALJA TOMISLAVA 20;442;230;230;220;10;20;171;5;5;19
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;SOPJE;002;GRABIĆ;PROSTORIJE MJESNOG DOMA;GRABIĆ 41;94;53;53;53;0;4;38;0;1;10
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;SOPJE;003;NOVA ŠAROVKA;PROSTORIJE MJESNOG DOMA NOVA ŠAROVKA;DRAVSKA 26 A;206;131;131;129;2;12;93;3;6;15
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;SOPJE;004;GORNJE PREDRIJEVO;PROSTORIJE MJESNOG DOMA;GORNJE PREDRIJEVO 33;68;24;24;22;2;5;13;1;1;2
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;SOPJE;005;JOSIPOVO;PROSTORIJE MJESNOG DOMA;JOSIPOVO 57;210;125;125;121;4;12;99;0;3;7
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;SOPJE;006;KAPINCI;PROSTORIJE MJESNOG DOMA;KRALJA TOMISLAVA 79;133;64;64;60;4;3;41;5;1;10
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;SOPJE;007;ŠPANAT;PROSTORIJE MJESNOG DOMA;GLAVNA 82;136;28;28;25;3;3;15;4;2;1
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;SOPJE;008;VAŠKA;PROSTORIJE MJESNOG DOMA;MATIJE GUPCA 2;224;118;118;114;4;14;91;0;3;6
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;SOPJE;009;NOVAKI;PROSTORIJE MJESNOG DOMA;MATIJE GUPCA 10;283;113;113;109;4;12;72;1;0;24
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;SUHOPOLJE;001;BOROVA;HRVATSKI DOM;TRG KRALJA TOMISLAVA 9;463;152;152;149;3;19;107;9;3;11
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;SUHOPOLJE;002;BUDANICA;DRUŠTVENI DOM MJESNOG ODBORA;BUDANICA 64;78;27;27;24;3;3;16;3;0;2
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;SUHOPOLJE;003;CABUNA;DRUŠTVENI DOM MJESNOG ODBORA;ALOJZIJA STEPINCA 1;732;260;260;245;15;46;131;22;3;43
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;SUHOPOLJE;004;GAĆIŠTE;DRUŠTVENI DOM MJESNOG ODBORA;GAĆIŠTE 101;159;52;52;50;2;10;23;8;0;9
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;SUHOPOLJE;005;JUGOVO POLJE;DRUŠTVENI DOM MJESNOG ODBORA;TRG SV.PETRA I PAVLA 18;238;103;103;98;5;15;57;10;2;14
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;SUHOPOLJE;006;LEVINOVAC;OSNOVNA ŠKOLA;LEVINOVAC 58;161;59;59;56;3;3;45;4;4;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;SUHOPOLJE;007;NAUDOVAC;ZGRADA MJESNOG ODBORA;NAUDOVAC 45;117;88;88;82;6;9;51;4;3;15
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;SUHOPOLJE;008;OREŠAC;DRUŠTVENI DOM MJESNOG ODBORA;OREŠAC 87;296;120;120;113;7;8;78;14;0;13
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;SUHOPOLJE;009;PČELIĆ;DRUŠTVENI DOM MJESNOG ODBORA;PČELIĆ BB;328;133;133;129;4;19;66;8;3;33
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;SUHOPOLJE;010;PEPELANA;DRUŠTVENI DOM MJESNOG ODBORA;PEPELANA 135;112;39;39;39;0;2;34;0;0;3
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;SUHOPOLJE;011;PIVNICA SLAVONSKA;DRUŠTVENI DOM MJESNOG ODBORA;PIVNICA SLAVONSKA 30;83;19;19;19;0;1;18;0;0;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;SUHOPOLJE;012;SUHOPOLJE;OSNOVNA ŠKOLA;KRALJA TOMISLAVA 26;1302;448;448;422;26;88;226;15;8;85
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;SUHOPOLJE;013;SUHOPOLJE;PRIVATNA KUĆA;KAPAN 62;146;36;36;34;2;10;21;2;1;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;SUHOPOLJE;014;SUHOPOLJE;HRVATSKI DOM;TRG SVETE TEREZIJE 10;909;360;360;344;16;64;199;7;18;56
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;SUHOPOLJE;015;MALA TRAPINSKA;DRUŠTVENI DOM MJESNOG ODBORA;MALA TRAPINSKA 6A;78;39;39;37;2;3;30;0;0;4
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;SUHOPOLJE;016;TRNAVA CABUNSKA;PRIVATNA KUĆA;TRNAVA CABUNSKA 41;46;15;15;14;1;2;10;1;1;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;SUHOPOLJE;017;ZVONIMIROVO;DRUŠTVENI DOM MJESNOG ODBORA;STJEPANA RADIĆA 1;75;32;32;32;0;3;26;1;1;1
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;SUHOPOLJE;018;ŽUBRICA;DRUŠTVENI DOM MJESNOG ODBORA;ŽUBRICA 50;83;35;35;34;1;6;22;4;0;2
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;ŠPIŠIĆ BUKOVICA;001;ŠPIŠIĆ BUKOVICA;AMBULANTA ŠPIŠIĆ BUKOVICA;VLADIMIRA NAZORA 59;483;153;153;149;4;22;96;1;2;28
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;ŠPIŠIĆ BUKOVICA;002;ŠPIŠIĆ BUKOVICA;"OSNOVNA ŠKOLA ""AUGUST CESAREC"", MATIČNA ŠKOLA";VLADIMIRA NAZORA 1;509;201;201;196;5;21;129;2;2;42
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;ŠPIŠIĆ BUKOVICA;003;ŠPIŠIĆ BUKOVICA;VATROGASNI DOM;PETRA PRERADOVIĆA BB;477;172;172;160;12;28;110;1;1;20
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;ŠPIŠIĆ BUKOVICA;004;LOZAN;DRUŠTVENI DOM;IVE MARINKOVIĆA BB;331;136;136;136;0;26;81;2;6;21
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;ŠPIŠIĆ BUKOVICA;005;VUKOSAVLJEVICA;DRUŠTVENI DOM;BILOGORSKA BB;500;267;267;258;9;20;191;6;6;35
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;ŠPIŠIĆ BUKOVICA;006;ROGOVAC;DRUŠTVENI DOM;ROGOVAC 25;179;74;74;72;2;18;47;4;1;2
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;ŠPIŠIĆ BUKOVICA;007;BUŠETINA;OSNOVNA ŠKOLA ''AUGUST CESAREC'', PODRUČNA ŠKOLA BUŠETINA;VLADIMIRA NAZORA 8;615;340;340;322;18;95;181;18;5;23
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;ŠPIŠIĆ BUKOVICA;008;OKRUGLJAČA;DRUŠTVENI DOM;OKRUGLJAČA 44 A;203;116;116;114;2;23;64;6;1;20
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;VOĆIN;001;VOĆIN;VIJEĆNICA OPĆINE VOĆIN;TRG GOSPE VOĆINSKE 11;960;383;381;353;28;55;250;14;3;31
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;VOĆIN;002;ĆERALIJE;OSNOVNA ŠKOLA VOĆIN-PODRUČNA ŠKOLA ĆERALIJE;PETRA PRERADOVIĆA 36;666;228;228;215;13;20;177;7;3;8
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;VOĆIN;003;HUM;HRVATSKI DOM;HUM 45;174;60;60;57;3;16;18;18;1;4
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;ZDENCI;001;ZDENCI;MUZEJSKO-GALERIJSKI PROSTOR;HRVATSKIH BRANITELJA 2;341;213;213;198;15;30;130;7;3;28
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;ZDENCI;002;ZDENCI;"OSNOVNA ŠKOLA ""IVAN GORAN KOVAČIĆ""";ŠKOLSKA 1;372;279;279;262;17;34;164;8;7;49
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;ZDENCI;003;BANKOVCI;MJESNI DOM;BANKOVCI 59;106;90;90;75;15;21;35;10;1;8
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;ZDENCI;004;DUGA MEĐA;MJESNI DOM DUGA MEĐA;KRALJA TOMISLAVA 66;147;95;95;86;9;42;27;4;3;10
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;ZDENCI;005;SLAVONSKE BARE;MJESNI DOM;SLAVONSKE BARE 26;128;93;93;84;9;15;51;6;2;10
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;ZDENCI;006;DONJE PREDRIJEVO;MJESNI DOM;DONJE PREDRIJEVO 62;101;58;58;57;1;21;26;2;2;6
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;ZDENCI;007;ZOKOV GAJ;MJESNI DOM;ZOKOV GAJ 11;96;55;55;51;4;8;35;3;1;4
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;ZDENCI;008;KUTOVI;MJESNI DOM KUTOVI;ZDRAVKA KEVČIĆA  53;142;70;70;66;4;5;51;2;3;5
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;ZDENCI;009;OBRADOVCI;MJESNI DOM;OBRADOVCI 7;39;20;20;17;3;6;7;2;0;2
